ID,vineyard,Variety,Rain,C13,Tave,Tx,Tn,Tex,Ten,AT_10,RH,Tsoil_10,Tsoil_20,Tsoil_40,Wind_10,Windmax,TC,TN,TC.TN,IC,SOC,SWC,SBD,T.Cu,T.Fe,T.Zn,A.Ca,A.K,A.Mg,A.Na,A.P,pH,EC
CHFC_CH,CHFC,CH,16,-25.97955333,20.97419355,28.28320789,13.8647491,34.13333333,0.4,629.5833333,46.81492832,22.54507168,21.86129032,21.64867384,1.641236559,8.258530466,39.10333333,1.133333333,35.98797159,28.80882969,17.74772428,6.114155712,1.276833333,30.54790461,25.46303769,62.61479893,6698.333333,163.7166667,523.8333333,138.5666667,77.45,7.786666667,212.3333333
CHFC_CS,CHFC,CS,16,-25.39329617,20.97419355,28.28320789,13.8647491,34.13333333,0.4,629.5833333,46.81492832,22.54507168,21.86129032,21.64867384,1.641236559,8.258530466,34.35666667,1.173333333,31.66651556,24.42026349,17.13035909,4.545293446,1.622233333,31.54804353,24.63669103,58.50951157,6604.166667,336,367.75,125.2916667,66.40666667,7.433333333,220.6666667
CHFC_ME,CHFC,ME,16,-25.04067532,20.97419355,28.28320789,13.8647491,34.13333333,0.4,629.5833333,46.81492832,22.54507168,21.86129032,21.64867384,1.641236559,8.258530466,35.35666667,0.683333333,52.24241453,28.72007721,11.44148022,3.194909543,1.65,30.80664326,23.12511959,49.21388848,6490,251.7333333,363.25,102.4666667,50.7,7.836666667,221.3333333
HD_CH,HD,CH,0,-27.58267837,20.22109319,27.42858423,12.37114695,38.4,-1.1,605.0166667,48.12107527,20.20921147,19.58602151,19.26204301,1.565519713,8.960197133,10.81,0.423333333,25.22184429,2.56215583,14.21928335,7.257232835,1.5648,10.30415723,23.65820002,45.73431954,4510.833333,105.3833333,165.8083333,77.90833333,3.5,7.89,128.4
HD_CS,HD,CS,0,-26.89543433,20.22109319,27.42858423,12.37114695,38.4,-1.1,605.0166667,48.12107527,20.20921147,19.58602151,19.26204301,1.565519713,8.960197133,61.24666667,1.196666667,53.95375979,4.972132168,97.01729747,9.688335484,1.586166667,20.26238469,28.47288899,66.95308055,6285.833333,129.3583333,330.5,159.1916667,12.38666667,7.833333333,223.6666667
HD_ME,HD,ME,0,-27.01408558,20.22109319,27.42858423,12.37114695,38.4,-1.1,605.0166667,48.12107527,20.20921147,19.58602151,19.26204301,1.565519713,8.960197133,12.87,0.853333333,15.49334208,2.740543655,17.46318274,7.785555146,1.5996,14.2436004,27.47518587,59.63300831,6068.333333,127.9583333,178.3083333,98.50833333,5.77,7.033333333,118.8666667
HSP_CH,HSP,CH,179.4,-24.37409526,19.5377957,25.8811828,14.09204301,37.6,-1,575.15,46.29172043,21.01564516,20.26215054,19.76973118,3.219086022,10.63283154,14.73333333,0.42,34.78966817,10.83538502,6.720062901,4.544073768,1.482266667,23.29577169,26.01766919,57.05687027,6842.5,142.0583333,370.6666667,83.6,20.68333333,7.323333333,142.2
HSP_CS,HSP,CS,179.4,-24.68572143,19.5377957,25.8811828,14.09204301,37.6,-1,575.15,46.29172043,21.01564516,20.26215054,19.76973118,3.219086022,10.63283154,13.04666667,0.486666667,27.12712843,8.749048208,7.409094222,4.836666667,1.541733333,20.33333333,24.02,47.03333333,7005,150.1583333,250.5833333,62,3.078355621,6.763333333,133
HSP_ME,HSP,ME,179.4,-23.96881458,19.5377957,25.8811828,14.09204301,37.6,-1,575.15,46.29172043,21.01564516,20.26215054,19.76973118,3.219086022,10.63283154,12.39666667,0.53,24.07238901,9.246843824,5.430294581,3.992445859,1.4536,20.76898273,24.81419995,50.39693299,6784.166667,147.85,247.1166667,68.35833333,6.163333333,7.446666667,129.2333333
SSB_CH,SSB,CH,105.6,-25.08600276,20.46682796,27.84215054,13.15681004,39.4,-1.4,612.6333333,49.34430108,23.97311828,22.82444444,22.28505376,1.911397849,8.575967742,17.17,0.526666667,32.69,12.66730515,7.762645928,14.9942152,1.587366667,27.50220695,27.11309788,64.03575867,6801.666667,151.5666667,335.5833333,164.7083333,11.35,7.693333333,222
SSB_CS,SSB,CS,105.6,-24.34509902,20.46682796,27.84215054,13.15681004,39.4,-1.4,612.6333333,49.34430108,23.97311828,22.82444444,22.28505376,1.911397849,8.575967742,9.1,0.196666667,47.20555556,7.178112784,3.313333561,8.032857697,1.630633333,16.51912295,16.4332135,32.5498062,6656.666667,88.9,203.625,104.4833333,3.9352947,7.693333333,100.9
SSB_ME,SSB,ME,105.6,-24.34476573,20.46682796,27.84215054,13.15681004,39.4,-1.4,612.6333333,49.34430108,23.97311828,22.82444444,22.28505376,1.911397849,8.575967742,12.67333333,0.32,39.65906863,9.530846924,5.41764657,8.634008403,1.642666667,17.15691678,17.76365974,33.0696209,6798.333333,115.775,233.0833333,92.99166667,8.676666667,7.876666667,201.1666667
XG_CH,XG,CH,117.6,-25.41362686,21.00953405,27.68197133,14.62069892,38.6,0,626.3166667,44.06087814,21.12693548,20.59792115,20.2897491,3.060663082,10.64964158,9.876666667,0.106666667,96.29404762,8.883333019,1.712507208,5.455757494,1.566333333,18.40459829,23.13799886,42.45495655,6895.833333,137.7416667,296.5833333,86.15833333,14.64333333,7.67,65.23333333
XG_CS,XG,CS,117.6,-24.42875482,21.00953405,27.68197133,14.62069892,38.6,0,626.3166667,44.06087814,21.12693548,20.59792115,20.2897491,3.060663082,10.64964158,14.99,0.296666667,49.68166667,12.60976514,4.103524897,5.284289083,1.668466667,17.11434199,22.29855638,37.21528076,6727.5,164.4666667,247.4833333,118.8916667,5.69,7.61,189.8333333
XG_ME,XG,ME,117.6,-25.20332085,21.00953405,27.68197133,14.62069892,38.6,0,626.3166667,44.06087814,21.12693548,20.59792115,20.2897491,3.060663082,10.64964158,9.776666667,0.34,28.31630383,6.573891707,5.521584031,3.045654249,1.6235,14.03486045,21.0388583,37.24641996,5984.166667,198.7333333,324.8333333,87.725,29.10333333,7.746666667,147.3666667
YSGD_CH,YSGD,CH,98.3,-26.01060015,20.88283154,27.2468638,14.22166667,39.6,-0.6,620.9,43.18539427,20.36166667,19.69750896,19.41528674,2.164623656,9.243297491,11.52666667,0.71,16.26505861,4.854069992,11.50355667,6.790680827,1.596762,17.08083951,23.30305721,54.88029406,6490,156.975,209.125,84.84166667,10.97666667,7.286666667,144.9
YSGD_CS,YSGD,CS,92.7,-25.08279022,21.19756272,26.87120072,15.64695341,38,-0.2,632.0166667,42.34120072,20.80016129,20.31340502,20.17030466,2.03655914,9.036218638,30.54333333,0.57,55.3245733,26.48052507,7.004281447,7.169264807,1.654533333,15.86832739,23.82779724,52.61510366,7006.666667,182.6,365.3333333,200.7916667,6.353333333,7.286666667,134.1
YSGD_ME,YSGD,ME,92.7,-26.52634646,21.19756272,26.87120072,15.64695341,38,-0.2,632.0166667,42.34120072,20.80016129,20.31340502,20.17030466,2.03655914,9.036218638,10.19333333,0.556666667,18.40608466,5.383359331,8.292395179,11.84560045,1.8035,16.00574262,23.39458619,52.86917483,6900.833333,181.1666667,206.1916667,102.425,20.37333333,7.466666667,150.7
