"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher","Pielou","Coverage"
"CCCHF2",1428,1570.87401574803,27.0571307779915,1529.19312784805,19.0199622203068,6.33358053916611,0.995965093518705,247.837218690416,331.138823447843,0.871910002377549,0.992165066863566
"CCCHF3",1362,1448.03424657534,17.9937635230864,1443.6835433527,18.5408293668606,6.29124828952675,0.995905805654631,244.248297868668,311.468500566303,0.871761334041911,0.993477725818361
"CCCHF5",1324,1443.90058479532,22.0942710234298,1435.10526173447,17.5803466995596,4.85299744106125,0.893784164349823,9.41479200232918,300.30235168158,0.675113911645843,0.991672819755517
"CCCSF1",1443,1584.4,25.9664988152335,1551.88641211517,19.0450019695309,6.33136648043279,0.99598301415651,248.942873826784,335.658010540826,0.870353188744125,0.991672819755517
"CCCSF3",1440,1546.07006369427,20.604552523481,1535.94938619275,18.9651081214506,6.35106434187763,0.996236908368316,265.738944962251,334.752736524692,0.873310839016504,0.992493231602264
"CCCSF4",1462,1597.00699300699,25.1705078140598,1567.975141387,19.1876388878673,6.35719537219078,0.996165511874228,260.79100187556,341.408068350739,0.872335159316162,0.991918943309541
"CCMEF1",1435,1540.06172839506,20.3158394287126,1527.75198837228,18.5091700749392,5.78963058457061,0.973019868969546,37.0643122107619,333.245542222192,0.796491154458358,0.99241119041759
"CCMEF4",1398,1578.31914893617,31.4218226209731,1526.30528251874,18.6974334499222,5.79911660475052,0.97601074096732,41.6853225286259,322.15442384959,0.800673533428313,0.990729346131758
"CCMEF5",1325,1491.88165680473,28.2971755200509,1467.70737421424,17.8084058326927,4.80179487354377,0.919782634812449,12.4661287199095,300.594699432712,0.667920828704835,0.99023709902371
"HDCHF2",737,988.4375,38.2107536906814,1052.53503489039,17.5430928603014,2.38328663541087,0.670848057955794,3.03811058743714,143.324161857719,0.360962500511387,0.987775863483469
"HDCHF4",936,1219.41984732824,45.5323290811095,1177.64227678236,16.7873640789157,3.45464560163191,0.824071288101993,5.68412051228877,193.155686254711,0.504945887927998,0.988801378291903
"HDCHF5",888,1060.49162011173,28.5950193982079,1097.2324545328,15.7491613307716,3.43244673907469,0.847777162115528,6.56931649611565,180.803245863191,0.50559154891428,0.989785872507999
"HDCSF1",920,1065.33112582781,26.2395096712611,1066.36357772123,14.8396869237679,3.3005558031854,0.854878903906619,6.89079690630596,189.015242935595,0.483642303714087,0.991385675609156
"HDCSF2",844,1105.32142857143,41.9201444819525,1092.76489295231,16.2363802583421,2.78033279337997,0.77875695133127,4.51991602003872,169.66340174708,0.412625388874742,0.988883419476577
"HDCSF4",464,683.009009009009,38.9783812784684,752.495675882011,16.5185280275595,0.5883754712213,0.136309217283685,1.15782178067826,81.3110033588279,0.0958284257979999,0.990934449093445
"HDMEF2",1124,1234.888,22.466946487912,1232.70391083311,17.3717179562061,5.85121937370756,0.991093554068745,112.278231712017,243.48375263737,0.832955404368394,0.993149561079662
"HDMEF3",1191,1349.05847953216,27.0930443475634,1339.85404583839,16.8925618217475,5.0429210436315,0.97278341751187,36.7423059245633,262.148860546705,0.712020679314669,0.990442201985397
"HDMEF5",1099,1242.51086956522,29.554491027243,1202.47609433879,17.1359219744097,5.97935295365969,0.993563687668396,155.368470092674,236.615948390033,0.853930274132113,0.993313643449011
"HSPCHF1",1105,1258.42857142857,30.0254493275529,1221.54867269314,17.1849449761106,5.91150425711062,0.99332768717137,149.873068856884,238.259391468115,0.843584642272714,0.992616293379276
"HSPCHF2",1067,1185.40740740741,26.3770252554619,1142.5214609315,16.6275678379252,5.92552248728941,0.992849853977259,139.857283588257,227.902681043215,0.849828926763668,0.994298137665108
"HSPCHF3",1101,1276.46391752577,34.0423833646264,1231.26786624436,17.4284873559072,5.94991302332613,0.993321333337722,149.730485225157,237.163423172354,0.849505281884183,0.99241119041759
"HSPCSF2",1210,1398.34375,31.4296571459835,1412.2111861601,18.7577173186889,5.92996752921177,0.993720292167848,159.243077341914,267.510204317409,0.83539781932265,0.989908934285011
"HSPCSF3",1160,1274.75961538462,24.1297995379872,1243.99005831406,17.2745847381364,5.95051336571377,0.992693454765864,136.863588461475,253.466027035441,0.843305774889405,0.99364180818771
"HSPCSF5",1150,1289.40707964602,27.3690453504503,1262.26871757853,17.571732320303,5.97466869704007,0.993136745720271,145.703475238198,250.68224847046,0.847769293693106,0.992698334563951
"HSPMEF3",1265,1425.18248175182,28.9339551308387,1409.57726671051,18.5538052685378,6.07400882047825,0.993977208489091,166.035964915712,283.197956473581,0.850364775647588,0.991385675609156
"HSPMEF4",1204,1364.00854700855,30.1262621031855,1329.57455100164,17.9588481914399,6.02524256817136,0.994107892847253,169.718569957408,265.813869038519,0.849414757223639,0.992042005086553
"HSPMEF5",1314,1471.93333333333,28.7342375025738,1446.08209489857,18.7344754749166,6.17402596804495,0.995021589606544,200.867329321531,297.383340089434,0.859792661449336,0.991508737386168
"SSBCHF1",1426,1567.82575757576,26.6446379203694,1528.68833595293,18.9717460968708,6.32000471737163,0.995849563457638,240.938510875514,330.537622800892,0.870208992447147,0.992042005086553
"SSBCHF3",1430,1598.75675675676,29.5078425912766,1559.52484456315,19.1337678073886,6.3036065263087,0.995957127669,247.348894085055,331.740343723332,0.86761647506316,0.990811387316433
"SSBCHF4",608,640.765957446809,11.5415325338272,635.7512464762,12.4580150321507,4.9130644879034,0.977055478814841,43.5833893385769,113.047907415203,0.76644780811291,0.997702846829108
"SSBCSF1",1424,1560.5,25.5115185180868,1532.14844155589,19.0837524994884,6.34810728233719,0.996154311896273,260.031488001008,329.936741869016,0.874247417196268,0.991959963901879
"SSBCSF3",1408,1570.09677419355,29.9632059834288,1517.29000315007,18.9366295881227,6.32676396967382,0.996114647551266,257.376908065521,325.141214658292,0.872666062241781,0.991754860940192
"SSBCSF4",1414,1553.57692307692,26.42774422053,1515.44088931021,18.9063469681717,6.3177401266907,0.995948182494299,246.802823323818,326.937135989329,0.870910564975569,0.992165066863566
"SSBMEF2",1393,1482.32191780822,18.4882789813355,1471.41453550048,18.6267983005942,6.32180767454498,0.995943898368115,246.542145822755,320.664036773644,0.87327254370016,0.993354664041349
"SSBMEF4",1419,1528.1801242236,20.9222327055627,1520.30610840041,18.9230042578256,6.31501634592719,0.995954273828463,247.174415074187,328.435938863859,0.870111697361482,0.992288128640578
"SSBMEF5",1385,1492.69230769231,21.2912456809945,1477.02641868746,18.6694282015219,6.2978640634368,0.995927175804876,245.529871187964,318.283593593882,0.870657756073799,0.992780375748626
