,Kingdom,Phylum,Class,Order,Family
OTU1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae
OTU10,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae
OTU100,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae
OTU1000,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU1001,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae
OTU1002,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae
OTU10029,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae
OTU1003,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae
OTU1004,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Shewanellaceae
OTU1007,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU1008,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae
OTU1009,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU101,k__Bacteria,p__Rokubacteria,c__NC10,o__Rokubacteriales,f__
OTU1010,k__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Nostocales,f__Coleofasciculaceae
OTU10101,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae
OTU1011,k__Bacteria,p__Gemmatimonadetes,c__S0134_terrestrial_group,o__,f__
OTU1013,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Elsterales,f__
OTU1014,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Solibacterales,f__Solibacteraceae_Subgroup_3
OTU1015,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Haliangiaceae
OTU10161,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU1017,k__Bacteria,p__Acidobacteria,c__Thermoanaerobaculia,o__Thermoanaerobaculales,f__Thermoanaerobaculaceae
OTU10171,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae
OTU10172,k__Bacteria,p__Chloroflexi,c__KD4-96,o__,f__
OTU1018,k__Bacteria,p__Gemmatimonadetes,c__S0134_terrestrial_group,o__,f__
OTU102,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae
OTU1020,k__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__
OTU1021,k__Bacteria,p__Chloroflexi,c__P2-11E,o__,f__
