"","CCCHF2","CCCHF3","CCCHF5","CCCSF1","CCCSF3","CCCSF4","CCMEF1","CCMEF4","CCMEF5","HDCHF2","HDCHF4","HDCHF5","HDCSF1","HDCSF2","HDCSF4","HDMEF2","HDMEF3","HDMEF5","HSPCHF1","HSPCHF2","HSPCHF3","HSPCSF2","HSPCSF3","HSPCSF5","HSPMEF3","HSPMEF4","HSPMEF5","SSBCHF1","SSBCHF3","SSBCHF4","SSBCSF1","SSBCSF3","SSBCSF4","SSBMEF2","SSBMEF4","SSBMEF5","XGCHF1","XGCHF3","XGCHF4","XGCSF1","XGCSF2","XGCSF3","XGMEF1","XGMEF2","XGMEF3","YSCHF1","YSCHF4","YSCHF5","YSCSF1","YSCSF3","YSCSF5","YSMEF1","YSMEF3","YSMEF4"
"CCCHF2",0,0.212568709492165,0.408442037903027,0.214291574370334,0.215891377471491,0.216137501025515,0.306177701206005,0.288087619985233,0.452908359996718,0.928254984001969,0.880712117482977,0.89662810730987,0.849905652637624,0.894330954138978,0.957543686930839,0.770325703503159,0.78115513988022,0.74751825416359,0.762039543851013,0.754901960784314,0.762983017474772,0.774468783329231,0.745549265731397,0.769464271064074,0.720977930921322,0.725859381409468,0.711420132906719,0.21404545081631,0.208548691443104,0.838707030929527,0.207482156042333,0.210148494544261,0.209902370990237,0.202559684961851,0.208220526704406,0.208015423742719,0.230740831897613,0.203872343916646,0.208671753220116,0.211789318237755,0.208671753220116,0.20288784970055,0.209533185659201,0.210722782836984,0.208548691443104,0.83649191894331,0.916194929854787,0.885101320863073,0.735130035277709,0.753302157683157,0.758921978833374,0.678972844367873,0.719255066043154,0.719870374928214
"CCCHF3",0.212568709492165,0,0.422594142259414,0.203585199770285,0.211994421199442,0.203421117400935,0.308064648453524,0.282221675280991,0.447821806546887,0.920420050865534,0.875830666994831,0.888013782919025,0.843752563787021,0.886947247518254,0.947493641808188,0.7622446468127,0.774427762736894,0.739970465173517,0.763680367544507,0.75945524653376,0.767905488555255,0.774920009844942,0.751948478136024,0.768069570924604,0.751456231027976,0.754532775453278,0.734063499876938,0.205020920502092,0.199154975797851,0.838748051521864,0.209779309213225,0.201370087784068,0.198498646320453,0.198580687505128,0.200139470013947,0.208261547296743,0.230822873082287,0.19513495774879,0.201411108376405,0.203872343916646,0.203174993846911,0.200344572975634,0.197678234473706,0.200795799491345,0.201985396669128,0.839855607514973,0.919968824349824,0.878414964312085,0.737181064894577,0.756952990401181,0.751661333989663,0.674460579210764,0.707236032488309,0.714414636147346
"CCCHF5",0.408442037903027,0.422594142259414,0,0.426244974977439,0.428624169333005,0.426080892608089,0.446878332923127,0.437730740831898,0.51813110181311,0.617318894084831,0.576134219378128,0.855894659118878,0.733448190991878,0.613216834851095,0.64476167035852,0.758429731725326,0.800475838871113,0.796619903191402,0.811879563540898,0.810402822216753,0.811920584133235,0.823488391172368,0.803757486258102,0.81819673476085,0.783739437197473,0.790384773156124,0.767577323816556,0.431085404873246,0.429772745918451,0.872179834276807,0.431290507834933,0.432069899089343,0.432069899089343,0.431167446057921,0.430018869472475,0.43567971121503,0.434367052260235,0.429895807695463,0.430634178357535,0.430921322503897,0.427762736893921,0.429239478218065,0.425055377799655,0.42792681926327,0.429854787103126,0.874969234555747,0.929977848880138,0.580072196242514,0.785585363852654,0.80207564197227,0.779022069078678,0.732504717368119,0.767659365001231,0.767290179670194
"CCCSF1",0.214291574370334,0.203585199770285,0.426244974977439,0,0.201903355484453,0.196037410780212,0.310402822216753,0.292969070473378,0.455615719090984,0.923168430552137,0.872343916646156,0.890967265567315,0.844490934449093,0.888465009434736,0.956231027976044,0.760726884896218,0.774837968660267,0.745672327508409,0.756911969808844,0.749282139634096,0.754696857822627,0.768356715070966,0.743416194929855,0.759250143572073,0.740667815243252,0.74550824513906,0.721757322175732,0.206579703010911,0.196652719665272,0.821560423332513,0.205020920502092,0.198785790466814,0.205841332348839,0.199811305275248,0.205923373533514,0.206333579456887,0.23418656165395,0.197801296250718,0.202436623184839,0.206128476495201,0.204979899909755,0.201985396669128,0.205841332348839,0.204405611617032,0.211174009352695,0.824349823611453,0.910739191073919,0.88251702354582,0.724874887193371,0.74907703667241,0.749036016080072,0.672573631963246,0.712814833046189,0.716424645171876
"CCCSF3",0.215891377471491,0.211994421199442,0.428624169333005,0.201903355484453,0,0.205020920502092,0.315079169743211,0.291082123225859,0.457461645746165,0.923578636475511,0.876610058249241,0.891869718598737,0.84609073755025,0.890064812535893,0.957789810484863,0.766797932562146,0.779678398556075,0.746451718762819,0.757404216916892,0.751702354582,0.76084994667323,0.773853474444171,0.741816391828698,0.762900976290098,0.746861924686193,0.746574780539831,0.726392649109853,0.198252522766429,0.20411846747067,0.823119205841332,0.209738288620888,0.203133973254574,0.206497661826237,0.196447616703585,0.203298055623923,0.206743785380261,0.226392649109853,0.206866847157273,0.203831323324309,0.209943391582574,0.208548691443104,0.208015423742719,0.204241529247682,0.204979899909755,0.206579703010911,0.823447370580031,0.910452046927558,0.887070309295266,0.728648781688408,0.752194601690048,0.75588645500041,0.679054885552547,0.722741816391829,0.717942407088358
"CCCSF4",0.216137501025515,0.203421117400935,0.426080892608089,0.196037410780212,0.205020920502092,0,0.305193206989909,0.288005578800558,0.454959389613586,0.91615390926245,0.870908195914349,0.882845188284519,0.841373369431455,0.883583558946591,0.953564689474116,0.755107063746,0.770858971203544,0.733940438099926,0.757650340470916,0.750389695627205,0.75789646402494,0.770858971203544,0.74271884486012,0.762613832143736,0.741201082943638,0.745139059808024,0.721183033883009,0.209615226843876,0.201780293707441,0.822093691032899,0.209164000328165,0.202928870292887,0.20428254984002,0.211584215276069,0.208425629666092,0.212568709492165,0.239888423988842,0.200508655344983,0.206374600049225,0.210640741652309,0.21482484207072,0.204036426285996,0.208753794404791,0.208835835589466,0.207646238411683,0.825826564935598,0.910000820411847,0.881409467552711,0.724956928378046,0.745139059808024,0.750963983919928,0.669004840429896,0.710435638690623,0.715029945032406
"CCMEF1",0.306177701206005,0.308064648453524,0.446878332923127,0.310402822216753,0.315079169743211,0.305193206989909,0,0.186438592173271,0.303675445073427,0.894043809992616,0.763106079251784,0.728525719911395,0.680982853392403,0.723275084092214,0.933218475674789,0.766305685454098,0.781237181064895,0.750512757404217,0.775330215768316,0.771843465419641,0.773197144966773,0.786323734514726,0.760603823119206,0.77697103946181,0.757855443432603,0.761342193781278,0.738944950365083,0.311428337025187,0.314586922635163,0.797932562146197,0.30843383378456,0.312905078349331,0.309910575108705,0.314299778488801,0.310238739847403,0.313520387234392,0.297850520961523,0.307326277791451,0.303224218557716,0.310895069324801,0.315079169743211,0.315284272704898,0.307695463122487,0.310156698662729,0.310238739847403,0.83292312740996,0.914882270899992,0.882106817622446,0.746533759947494,0.765280170645664,0.766838953154484,0.694273525309705,0.727500205102962,0.729838378866191
"CCMEF4",0.288087619985233,0.282221675280991,0.437730740831898,0.292969070473378,0.291082123225859,0.288005578800558,0.186438592173271,0,0.31401263434244,0.89445401591599,0.759168102387399,0.739191073919107,0.695873328410862,0.733161046845516,0.930306013618837,0.768315694478628,0.781073098695545,0.757158093362868,0.780580851587497,0.774550824513906,0.778940027894003,0.793912544097137,0.769464271064074,0.786323734514726,0.767536303224219,0.769587332841086,0.745180080400361,0.292189679218968,0.288661908277956,0.806505865944704,0.289277217163016,0.287636393469522,0.294035605874149,0.291328246779884,0.290753958487161,0.298301747477234,0.277996554270244,0.287472311100172,0.290712937894823,0.293297235212076,0.292640905734679,0.295389285421281,0.291123143818197,0.292476823365329,0.294568873574534,0.837681516121093,0.914841250307654,0.881532529329723,0.753835425383543,0.772581836081713,0.765690376569038,0.695627204856838,0.729920420050866,0.730535728935926
"CCMEF5",0.452908359996718,0.447821806546887,0.51813110181311,0.455615719090984,0.457461645746165,0.454959389613586,0.303675445073427,0.31401263434244,0,0.904709164000328,0.77976043974075,0.658749692345557,0.504635326934121,0.607432931331528,0.939904832225777,0.810402822216753,0.817048158175404,0.803060136188367,0.813274263680368,0.808597916153909,0.814668963819838,0.82594962671261,0.803716465665764,0.814997128558536,0.804783001066535,0.808761998523259,0.784641890228895,0.460251046025105,0.458528181146936,0.835138239396177,0.458815325293297,0.459963901878743,0.460333087209779,0.457953892854213,0.461891869718599,0.464189022889491,0.431290507834933,0.455492657313972,0.456682254491755,0.457133481007466,0.458651242923948,0.461112478464189,0.453728771843465,0.459143490031996,0.460292066617442,0.873287390269916,0.929977848880138,0.896505045532857,0.7867339404381,0.805070145212897,0.807162195422102,0.743867421445566,0.778899007301665,0.777832471900894
"HDCHF2",0.928254984001969,0.920420050865534,0.617318894084831,0.923168430552137,0.923578636475511,0.91615390926245,0.894043809992616,0.89445401591599,0.904709164000328,0,0.348100746574781,0.621995241611289,0.742513741898433,0.551850028714415,0.386906226925917,0.853556485355649,0.874107802116663,0.905406514070063,0.931782754942981,0.934572155221921,0.93211091968168,0.941381573549922,0.9231274099598,0.927434572155222,0.921650668635655,0.927885798670933,0.92111740093527,0.933997866929199,0.930634178357535,0.892731151037821,0.935146443514644,0.937771761424235,0.937648699647223,0.935925834769054,0.934079908113873,0.935802772992042,0.913077364837148,0.935351546476331,0.926819263270162,0.936828287800476,0.936582164246452,0.936828287800476,0.931454590204283,0.931536631388957,0.935228484699319,0.929690704733776,0.934572155221921,0.384486011978013,0.919394536057101,0.92234801870539,0.890187874312905,0.914143900237919,0.914020838460907,0.913159406021823
