"","CCCHF2","CCCHF3","CCCHF5","CCCSF1","CCCSF3","CCCSF4","CCMEF1","CCMEF4","CCMEF5","HDCHF2","HDCHF4","HDCHF5","HDCSF1","HDCSF2","HDCSF4","HDMEF2","HDMEF3","HDMEF5","HSPCHF1","HSPCHF2","HSPCHF3","HSPCSF2","HSPCSF3","HSPCSF5","HSPMEF3","HSPMEF4","HSPMEF5","SSBCHF1","SSBCHF3","SSBCHF4","SSBCSF1","SSBCSF3","SSBCSF4","SSBMEF2","SSBMEF4","SSBMEF5","XGCHF1","XGCHF3","XGCHF4","XGCSF1","XGCSF2","XGCSF3","XGMEF1","XGMEF2","XGMEF3","YSCHF1","YSCHF4","YSCHF5","YSCSF1","YSCSF3","YSCSF5","YSMEF1","YSMEF3","YSMEF4"
"CCCHF2",0,0.272445820433437,0.290683229813665,0.266304347826087,0.255474452554744,0.263221153846154,0.266949152542373,0.281021897810219,0.312078479460454,0.679878048780488,0.642159678345778,0.6487747957993,0.577831617201696,0.630500301386377,0.763398692810458,0.583009439200444,0.525337837837838,0.592200557103064,0.602097130242826,0.607700892857143,0.601990049751244,0.574054054054054,0.575674188222345,0.591256830601093,0.566790846194784,0.56878738444807,0.526598602901666,0.265045592705167,0.275196137598069,0.720301697045883,0.281927710843373,0.26756261453879,0.264957264957265,0.277777777777778,0.275590551181102,0.264651449722394,0.273288093769278,0.259627329192547,0.290940766550523,0.289281364190012,0.270935960591133,0.268757687576876,0.271336080047087,0.278987639788111,0.285463071512309,0.759295499021526,0.753164556962025,0.639046538024972,0.538300104931794,0.53720803910918,0.570189701897019,0.450441100155682,0.533402382185396,0.542242703533026
"CCCHF3",0.272445820433437,0,0.291348600508906,0.273846153846154,0.269302038295244,0.274893097128894,0.296589524969549,0.278228321896444,0.300442757748261,0.696273291925466,0.660839160839161,0.666271487848251,0.60257195345989,0.63151364764268,0.75358361774744,0.608062709966405,0.558441558441558,0.614301801801802,0.612485939257593,0.624575311438279,0.632426429761244,0.589138782227098,0.602770083102493,0.605219322598556,0.585352719439957,0.588558855885589,0.549593495934959,0.280074028377545,0.275478690549722,0.742820676451819,0.270639354438237,0.285891089108911,0.27363184079602,0.283489096573209,0.276951672862454,0.299071207430341,0.269157694743509,0.270543615676359,0.289536266349584,0.266118836915297,0.268939393939394,0.280800500312695,0.286992840095465,0.289646918013166,0.280817799158148,0.774365821094793,0.760416666666667,0.653579676674365,0.566912539515279,0.558968732857926,0.596069868995633,0.472004186289901,0.557120500782473,0.56055900621118
"CCCHF5",0.290683229813665,0.291348600508906,0,0.284562926224427,0.281094527363184,0.293937538273117,0.294808405438813,0.299812617114304,0.319162436548223,0.695569620253165,0.660343805572021,0.685680332739156,0.588679245283019,0.625237793278377,0.762629757785467,0.617730095990966,0.572644721906924,0.622512791358727,0.636159460976979,0.646092865232163,0.629169022046354,0.6,0.60213843556556,0.625555555555556,0.59750812567714,0.60485651214128,0.560829241680306,0.273697426239799,0.288377874456184,0.727272727272727,0.295285359801489,0.290362953692115,0.301488833746898,0.294413057124922,0.283479349186483,0.290851735015773,0.288888888888889,0.283715012722646,0.311124330755503,0.294451450189155,0.292929292929293,0.279822335025381,0.28821752265861,0.302227573750753,0.3046875,0.749652294853964,0.7543391188251,0.666279069767442,0.571124134256793,0.571980143408715,0.609220636663008,0.491099476439791,0.566473988439306,0.580227743271222
"CCCSF1",0.266304347826087,0.273846153846154,0.284562926224427,0,0.266386049308479,0.24788902291918,0.279736999402271,0.292668269230769,0.297662976629766,0.676381299332119,0.639794168096055,0.651821862348178,0.589253731343284,0.623947051744886,0.749508196721312,0.590334980779791,0.539911308203991,0.606359649122807,0.608410704533042,0.609418282548476,0.605263157894737,0.577479892761394,0.58686210640608,0.585379159847245,0.559574468085106,0.5707343412527,0.541269841269841,0.271686746987952,0.251369446135119,0.710062893081761,0.257142857142857,0.263702801461632,0.2726723095526,0.273889227023737,0.271739130434783,0.273504273504274,0.264034546576188,0.260037059913527,0.271186440677966,0.28119293974437,0.259556103575832,0.270171149144254,0.259433962264151,0.271176470588235,0.254156769596199,0.747877204441541,0.732439335887612,0.641328828828829,0.535041841004184,0.541733979536887,0.577479892761394,0.462602459016393,0.539250897896357,0.54868154158215
"CCCSF3",0.255474452554744,0.269302038295244,0.281094527363184,0.266386049308479,0,0.266427718040621,0.280502392344498,0.275820170109356,0.306797305572566,0.680606060606061,0.649232518476407,0.662068965517241,0.573155985489722,0.619939577039275,0.753110674525213,0.596606458675424,0.538333333333333,0.606476399560922,0.603183315038419,0.614917127071823,0.617519042437432,0.574502420656267,0.5800109229929,0.60302049622438,0.566507684154743,0.576964477933262,0.536663124335813,0.255629945222155,0.258495145631068,0.722395508421709,0.273658830620856,0.273939393939394,0.267152398299939,0.275715155203895,0.278747742323901,0.264742014742015,0.2796817625459,0.271498771498771,0.276967930029154,0.279878048780488,0.275229357798165,0.27200488997555,0.261202830188679,0.291036088474971,0.28446261682243,0.75146771037182,0.7319257837492,0.647586980920314,0.537375849451124,0.557333333333333,0.576799140708915,0.4633521271143,0.543032786885246,0.541326530612245
"CCCSF4",0.263221153846154,0.274893097128894,0.293937538273117,0.24788902291918,0.266427718040621,0,0.276621058893516,0.294573643410853,0.310909090909091,0.683233532934132,0.639046538024972,0.65097588978186,0.585510688836104,0.616676664667067,0.756617172369271,0.586112629852378,0.531820697288323,0.599781301257518,0.601851851851852,0.611964873765093,0.607821835958718,0.567292225201072,0.581168831168831,0.599463806970509,0.557142857142857,0.566666666666667,0.524189261031366,0.256038647342995,0.254677127338564,0.716676999380037,0.267707082833133,0.278344331133773,0.271634615384615,0.280120481927711,0.267588695129284,0.269300911854103,0.277811550151976,0.252618607516944,0.287111622554661,0.270681265206813,0.275485436893204,0.267031630170316,0.265615878575598,0.275218658892128,0.265533411488863,0.758178319435536,0.738035264483627,0.643614054657,0.53125,0.537017167381974,0.575692963752665,0.450487429451001,0.533265097236438,0.545683997980818
"CCMEF1",0.266949152542373,0.296589524969549,0.294808405438813,0.279736999402271,0.280502392344498,0.276621058893516,0,0.277811550151976,0.315018315018315,0.678027997565429,0.654370034052213,0.668004587155963,0.586434573829532,0.61543134872418,0.759634225996081,0.600874794969929,0.551571980143409,0.610745614035088,0.620315046170559,0.620727673649394,0.620989668297988,0.586317477284874,0.592733188720174,0.596634093376764,0.569915254237288,0.578890683898761,0.539319872476089,0.272342995169082,0.28750747160789,0.712665406427221,0.299226650803093,0.276969696969697,0.273333333333333,0.280851063829787,0.277610138805069,0.290909090909091,0.284841075794621,0.283007334963325,0.29183555298205,0.297460701330109,0.282489322757779,0.291767554479419,0.286379511059371,0.296920395119117,0.279342723004695,0.741595253790376,0.735124760076775,0.653415453527436,0.552099533437014,0.55382967327263,0.584804708400214,0.477619532044761,0.541109969167523,0.550533265617065
"CCMEF4",0.281021897810219,0.278228321896444,0.299812617114304,0.292668269230769,0.275820170109356,0.294573643410853,0.277811550151976,0,0.301310043668122,0.681284743668931,0.660160734787601,0.67093023255814,0.578786020846107,0.621156211562116,0.759493670886076,0.608935466078323,0.551203133743705,0.612006670372429,0.624725274725275,0.62750556792873,0.621621621621622,0.597849462365591,0.593732820230896,0.609929078014184,0.582756785524215,0.587404994571118,0.548956661316212,0.280146163215591,0.286060606060606,0.718210862619808,0.284498480243161,0.284841075794621,0.275904353157572,0.27716049382716,0.274954072259645,0.292638036809816,0.292848335388409,0.271820448877805,0.303436225975539,0.287738755391251,0.278810408921933,0.280864197530864,0.29,0.306612053832651,0.297058823529412,0.756972111553785,0.751608751608752,0.659116647791619,0.569797612869746,0.564420485175202,0.592552617377226,0.477073673364245,0.551189245087901,0.556125064069708
"CCMEF5",0.312078479460454,0.300442757748261,0.319162436548223,0.297662976629766,0.306797305572566,0.310909090909091,0.315018315018315,0.301310043668122,0,0.701511335012594,0.658956109134045,0.670072115384615,0.59159347553325,0.649439601494396,0.768754301445286,0.627242152466368,0.574504249291785,0.621944286526436,0.634064080944351,0.637037037037037,0.627828054298643,0.597122302158273,0.601575689364097,0.618090452261307,0.60377358490566,0.61043956043956,0.565760869565217,0.297648514851485,0.297280593325093,0.719019218025182,0.302038295243978,0.301429459291485,0.296641791044776,0.302311055590256,0.298822070675759,0.298807281858129,0.312891113892365,0.296085858585859,0.324483775811209,0.287341772151899,0.291219204042956,0.291115311909263,0.305023923444976,0.321832242712671,0.315223880597015,0.7618719889883,0.752005347593583,0.671105964099595,0.572872340425532,0.5777045579352,0.606377130291369,0.503115264797508,0.578645833333333,0.589928057553957
"HDCHF2",0.679878048780488,0.696273291925466,0.695569620253165,0.676381299332119,0.680606060606061,0.683233532934132,0.678027997565429,0.681284743668931,0.701511335012594,0,0.609310058187864,0.593073593073593,0.596951735817104,0.627604166666667,0.688864628820961,0.613263785394933,0.617921146953405,0.605922551252847,0.634544106745738,0.636432350718065,0.624251497005988,0.660013764624914,0.620363636363636,0.631617113850616,0.636239782016349,0.634060520760028,0.627175368139224,0.67381974248927,0.685870224378411,0.673570019723866,0.694259818731118,0.683241252302026,0.686813186813187,0.689230769230769,0.677300613496933,0.698159509202454,0.689869484151647,0.692069392812887,0.679178885630499,0.705378973105135,0.698832206515058,0.69773145309626,0.681150910158544,0.676348547717842,0.671029149315883,0.735908141962422,0.710685483870968,0.627813504823151,0.623521681997372,0.613573407202216,0.621104815864023,0.646816037735849,0.633694958519464,0.633713561470216
