CCCHF2,CCCHF3,CCCHF5,CCCSF1,CCCSF3,CCCSF4,CCMEF1,CCMEF4,CCMEF5,HDCHF2,HDCHF4,HDCHF5,HDCSF1,HDCSF2,HDCSF4,HDMEF2,HDMEF3,HDMEF5,HSPCHF1,HSPCHF2,HSPCHF3,HSPCSF2,HSPCSF3,HSPCSF5,HSPMEF3,HSPMEF4,HSPMEF5,SSBCHF1,SSBCHF3,SSBCHF4,SSBCSF1,SSBCSF3,SSBCSF4,SSBMEF2,SSBMEF4,SSBMEF5,XGCHF1,XGCHF3,XGCHF4,XGCSF1,XGCSF2,XGCSF3,XGMEF1,XGMEF2,XGMEF3,YSCHF1,YSCHF4,YSCHF5,YSCSF1,YSCSF3,YSCSF5,YSMEF1,YSMEF3,YSMEF4,
CCCHF2,0,0.787431291,0.591557962,0.785708426,0.784108623,0.783862499,0.693822299,0.71191238,0.54709164,0.071745016,0.119287883,0.103371893,0.150094347,0.105669046,0.042456313,0.229674296,0.21884486,0.252481746,0.237960456,0.245098039,0.237016983,0.225531217,0.254450734,0.230535729,0.279022069,0.274140619,0.288579867,0.785954549,0.791451309,0.161292969,0.792517844,0.789851505,0.790097629,0.797440315,0.791779473,0.791984576,0.769259168,0.796127656,0.791328247,0.788210682,0.791328247,0.79711215,0.790466814,0.789277217,0.791451309,0.163508081,0.08380507,0.114898679,0.264869965,0.246697842,0.241078021,0.321027156,0.280744934,0.280129625
CCCHF3,0.787431291,0,0.577405858,0.7964148,0.788005579,0.796578883,0.691935352,0.717778325,0.552178193,0.079579949,0.124169333,0.111986217,0.156247436,0.113052752,0.052506358,0.237755353,0.225572237,0.260029535,0.236319632,0.240544753,0.232094511,0.22507999,0.248051522,0.231930429,0.248543769,0.245467225,0.2659365,0.794979079,0.800845024,0.161251948,0.790220691,0.798629912,0.801501354,0.801419312,0.79986053,0.791738453,0.769177127,0.804865042,0.798588892,0.796127656,0.796825006,0.799655427,0.802321766,0.799204201,0.798014603,0.160144392,0.080031176,0.121585036,0.262818935,0.24304701,0.248338666,0.325539421,0.292763968,0.285585364
CCCHF5,0.591557962,0.577405858,0,0.573755025,0.571375831,0.573919107,0.553121667,0.562269259,0.481868898,0.382681106,0.423865781,0.144105341,0.266551809,0.386783165,0.35523833,0.241570268,0.199524161,0.203380097,0.188120436,0.189597178,0.188079416,0.176511609,0.196242514,0.181803265,0.216260563,0.209615227,0.232422676,0.568914595,0.570227254,0.127820166,0.568709492,0.567930101,0.567930101,0.568832554,0.569981131,0.564320289,0.565632948,0.570104192,0.569365822,0.569078677,0.572237263,0.570760522,0.574944622,0.572073181,0.570145213,0.125030765,0.070022151,0.419927804,0.214414636,0.197924358,0.220977931,0.267495283,0.232340635,0.23270982
CCCSF1,0.785708426,0.7964148,0.573755025,0,0.798096645,0.803962589,0.689597178,0.70703093,0.544384281,0.076831569,0.127656083,0.109032734,0.155509066,0.111534991,0.043768972,0.239273115,0.225162031,0.254327672,0.24308803,0.25071786,0.245303142,0.231643285,0.256583805,0.240749856,0.259332185,0.254491755,0.278242678,0.793420297,0.80334728,0.178439577,0.794979079,0.80121421,0.794158668,0.800188695,0.794076626,0.793666421,0.765813438,0.802198704,0.797563377,0.793871524,0.7950201,0.798014603,0.794158668,0.795594388,0.788825991,0.175650176,0.089260809,0.117482976,0.275125113,0.250922963,0.250963984,0.327426368,0.287185167,0.283575355
CCCSF3,0.784108623,0.788005579,0.571375831,0.798096645,0,0.794979079,0.68492083,0.708917877,0.542538354,0.076421364,0.123389942,0.108130281,0.153909262,0.109935187,0.04221019,0.233202067,0.220321601,0.253548281,0.242595783,0.248297645,0.239150053,0.226146526,0.258183608,0.237099024,0.253138075,0.253425219,0.273607351,0.801747477,0.795881533,0.176880794,0.790261711,0.796866027,0.793502338,0.803552383,0.796701944,0.793256215,0.773607351,0.793133153,0.796168677,0.790056608,0.791451309,0.791984576,0.795758471,0.7950201,0.793420297,0.176552629,0.089547953,0.112929691,0.271351218,0.247805398,0.244113545,0.320945114,0.277258184,0.282057593
CCCSF4,0.783862499,0.796578883,0.573919107,0.803962589,0.794979079,0,0.694806793,0.711994421,0.54504061,0.083846091,0.129091804,0.117154812,0.158626631,0.116416441,0.046435311,0.244892936,0.229141029,0.266059562,0.24234966,0.249610304,0.242103536,0.229141029,0.257281155,0.237386168,0.258798917,0.25486094,0.278816966,0.790384773,0.798219706,0.177906309,0.790836,0.79707113,0.79571745,0.788415785,0.79157437,0.787431291,0.760111576,0.799491345,0.7936254,0.789359258,0.785175158,0.795963574,0.791246206,0.791164164,0.792353762,0.174173435,0.08999918,0.118590532,0.275043072,0.25486094,0.249036016,0.33099516,0.289564361,0.284970055
CCMEF1,0.693822299,0.691935352,0.553121667,0.689597178,0.68492083,0.694806793,0,0.813561408,0.696324555,0.10595619,0.236893921,0.27147428,0.319017147,0.276724916,0.066781524,0.233694315,0.218762819,0.249487243,0.224669784,0.228156535,0.226802855,0.213676265,0.239396177,0.223028961,0.242144557,0.238657806,0.26105505,0.688571663,0.685413077,0.202067438,0.691566166,0.687094922,0.690089425,0.685700222,0.68976126,0.686479613,0.702149479,0.692673722,0.696775781,0.689104931,0.68492083,0.684715727,0.692304537,0.689843301,0.68976126,0.167076873,0.085117729,0.117893182,0.25346624,0.234719829,0.233161047,0.305726475,0.272499795,0.270161621
CCMEF4,0.71191238,0.717778325,0.562269259,0.70703093,0.708917877,0.711994421,0.813561408,0,0.685987366,0.105545984,0.240831898,0.260808926,0.304126672,0.266838953,0.069693986,0.231684306,0.218926901,0.242841907,0.219419148,0.225449175,0.221059972,0.206087456,0.230535729,0.213676265,0.232463697,0.230412667,0.25481992,0.707810321,0.711338092,0.193494134,0.710722783,0.712363607,0.705964394,0.708671753,0.709246042,0.701698253,0.722003446,0.712527689,0.709287062,0.706702765,0.707359094,0.704610715,0.708876856,0.707523177,0.705431126,0.162318484,0.08515875,0.118467471,0.246164575,0.227418164,0.234309623,0.304372795,0.27007958,0.269464271
CCMEF5,0.54709164,0.552178193,0.481868898,0.544384281,0.542538354,0.54504061,0.696324555,0.685987366,0,0.095290836,0.22023956,0.341250308,0.495364673,0.392567069,0.060095168,0.189597178,0.182951842,0.196939864,0.186725736,0.191402084,0.185331036,0.174050373,0.196283534,0.185002871,0.195216999,0.191238001,0.21535811,0.539748954,0.541471819,0.164861761,0.541184675,0.540036098,0.539666913,0.542046107,0.53810813,0.535810977,0.568709492,0.544507343,0.543317746,0.542866519,0.541348757,0.538887522,0.546271228,0.54085651,0.539707933,0.12671261,0.070022151,0.103494954,0.21326606,0.194929855,0.192837805,0.256132579,0.221100993,0.222167528
HDCHF2,0.071745016,0.079579949,0.382681106,0.076831569,0.076421364,0.083846091,0.10595619,0.105545984,0.095290836,0,0.651899253,0.378004758,0.257486258,0.448149971,0.613093773,0.146443515,0.125892198,0.094593486,0.068217245,0.065427845,0.06788908,0.058618426,0.07687259,0.072565428,0.078349331,0.072114201,0.078882599,0.066002133,0.069365822,0.107268849,0.064853556,0.062228239,0.0623513,0.064074165,0.065920092,0.064197227,0.086922635,0.064648454,0.073180737,0.063171712,0.063417836,0.063171712,0.06854541,0.068463369,0.064771515,0.070309295,0.065427845,0.615513988,0.080605464,0.077651981,0.109812126,0.0858561,0.085979162,0.086840594
