,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU1,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Pantoea,s__uncultured_bacterium_g_Pantoea
OTU10,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__Steroidobacter,s__uncultured_bacterium_g_Steroidobacter
OTU100,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Bosea,s__uncultured_bacterium_g_Bosea
OTU1000,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__uncultured_bacterium_c_Subgroup_6,f__uncultured_bacterium_c_Subgroup_6,g__uncultured_bacterium_c_Subgroup_6,s__uncultured_bacterium_c_Subgroup_6
OTU1001,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Actinophytocola,s__uncultured_bacterium_g_Actinophytocola
OTU1002,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__uncultured_bacterium_f_Gemmatimonadaceae,s__uncultured_bacterium_f_Gemmatimonadaceae
OTU10029,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae,g__uncultured_bacterium_f_Microscillaceae,s__uncultured_bacterium_f_Microscillaceae
OTU1003,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__uncultured_bacterium_f_Burkholderiaceae,s__uncultured_bacterium_f_Burkholderiaceae
OTU1004,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Shewanellaceae,g__Shewanella,s__Shewanella_sp
OTU1007,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__uncultured_bacterium_c_Subgroup_6,f__uncultured_bacterium_c_Subgroup_6,g__uncultured_bacterium_c_Subgroup_6,s__uncultured_bacterium_c_Subgroup_6
OTU1008,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Altererythrobacter,s__uncultured_bacterium_g_Altererythrobacter
OTU1009,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__uncultured_bacterium_c_Subgroup_6,f__uncultured_bacterium_c_Subgroup_6,g__uncultured_bacterium_c_Subgroup_6,s__uncultured_bacterium_c_Subgroup_6
OTU101,k__Bacteria,p__Rokubacteria,c__NC10,o__Rokubacteriales,f__uncultured_bacterium_o_Rokubacteriales,g__uncultured_bacterium_o_Rokubacteriales,s__uncultured_bacterium_o_Rokubacteriales
OTU1010,k__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Nostocales,f__Coleofasciculaceae,g__uncultured_bacterium_f_Coleofasciculaceae,s__uncultured_bacterium_f_Coleofasciculaceae
OTU10101,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__uncultured_bacterium_g_Pseudomonas
OTU1011,k__Bacteria,p__Gemmatimonadetes,c__S0134_terrestrial_group,o__uncultured_bacterium_c_S0134_terrestrial_group,f__uncultured_bacterium_c_S0134_terrestrial_group,g__uncultured_bacterium_c_S0134_terrestrial_group,s__uncultured_bacterium_c_S0134_terrestrial_group
OTU1013,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Elsterales,f__uncultured_bacterium_o_Elsterales,g__uncultured_bacterium_o_Elsterales,s__uncultured_bacterium_o_Elsterales
OTU1014,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Solibacterales,f__Solibacteraceae_Subgroup_3,g__Candidatus_Solibacter,s__uncultured_bacterium_g_Candidatus_Solibacter
OTU1015,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Haliangiaceae,g__Haliangium,s__uncultured_bacterium_g_Haliangium
OTU10161,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__uncultured_bacterium_c_Subgroup_6,f__uncultured_bacterium_c_Subgroup_6,g__uncultured_bacterium_c_Subgroup_6,s__uncultured_bacterium_c_Subgroup_6
OTU1017,k__Bacteria,p__Acidobacteria,c__Thermoanaerobaculia,o__Thermoanaerobaculales,f__Thermoanaerobaculaceae,g__Subgroup_10,s__uncultured_bacterium_g_Subgroup_10
OTU10171,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae,g__uncultured_bacterium_f_Microscillaceae,s__uncultured_bacterium_f_Microscillaceae
OTU10172,k__Bacteria,p__Chloroflexi,c__KD4-96,o__uncultured_bacterium_c_KD4-96,f__uncultured_bacterium_c_KD4-96,g__uncultured_bacterium_c_KD4-96,s__uncultured_bacterium_c_KD4-96
OTU1018,k__Bacteria,p__Gemmatimonadetes,c__S0134_terrestrial_group,o__uncultured_bacterium_c_S0134_terrestrial_group,f__uncultured_bacterium_c_S0134_terrestrial_group,g__uncultured_bacterium_c_S0134_terrestrial_group,s__uncultured_bacterium_c_S0134_terrestrial_group
