"Taxa","CCCHF2","CCCHF3","CCCHF5","CCCSF1","CCCSF3","CCCSF4","CCMEF1","CCMEF4","CCMEF5","HDCHF2","HDCHF4","HDCHF5","HDCSF1","HDCSF2","HDCSF4","HDMEF2","HDMEF3","HDMEF5","HSPCHF1","HSPCHF2","HSPCHF3","HSPCSF2","HSPCSF3","HSPCSF5","HSPMEF3","HSPMEF4","HSPMEF5","SSBCHF1","SSBCHF3","SSBCHF4","SSBCSF1","SSBCSF3","SSBCSF4","SSBMEF2","SSBMEF4","SSBMEF5","XGCHF1","XGCHF3","XGCHF4","XGCSF1","XGCSF2","XGCSF3","XGMEF1","XGMEF2","XGMEF3","YSCHF1","YSCHF4","YSCHF5","YSCSF1","YSCSF3","YSCSF5","YSMEF1","YSMEF3","YSMEF4"
"k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__",0.126138321437362,0.128066289277217,0.0834358848141767,0.119123800147674,0.124497497743867,0.122692591681024,0.10214127492001,0.10275658380507,0.0758470752317663,0.00438920338009681,0.0239970465173517,0.0180490606284355,0.0121831159241939,0.00865534498318156,0.00229715317089179,0.0826975141521044,0.18102387398474,0.100295348264829,0.100623513003528,0.0988186069406842,0.105258839937649,0.0972188038395274,0.0961932890310936,0.101608007219624,0.0986545245713348,0.0860612027237673,0.103823119205841,0.130240380671097,0.128435474608253,0.010911477561736,0.135039789974567,0.128886701123964,0.127984248092542,0.12523586840594,0.131347936664205,0.131019771925507,0.12088768561818,0.129378948232012,0.131799163179916,0.126917712691771,0.127779145130856,0.128722618754615,0.131306916071868,0.129460989416687,0.137049798999098,0.0131265895479531,0.00336368857166297,0.0237099023709902,0.103043727951432,0.102961686766757,0.0877840676019362,0.107514972516203,0.0847075231766347,0.117565017638855
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae",0.0109524981540733,0.0187874312905078,0.351382393961769,0.0177208958897366,0.0139880219870375,0.0185002871441464,0.0187874312905078,0.0226843875625564,0.0102551480843383,0.567437853802609,0.40265813438346,0.065591927147428,0.160308474854377,0.309295266223644,0.930470095988186,0.0941832800065633,0.0341701534170153,0.0556239232094511,0.038313233243088,0.0433997866929198,0.0440150955779801,0.00319960620231356,0.042374271884486,0.0406514070063172,0.0339240298629912,0.0328985150545574,0.0363032242185577,0.0138649602100254,0.0169825252276643,0.0343752563787021,0.0105422922306998,0.00783493313643449,0.00767085076708508,0.00894248912954303,0.0117729100008204,0.0167364016736402,0.00972188038395275,0.0109935187464107,0.0123882188858807,0.0102961686766757,0.00992698334563951,0.00734268602838625,0.010214127492001,0.00988596275330216,0.0079990155057839,0.034129132824678,0.00438920338009681,0.748338666010337,0.0357289359258348,0.0276888998277135,0.0604643531052588,0.0162441545655919,0.0161210927885799,0.0148494544261219
"k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae",0.0572647469029453,0.0610796619903191,0.039584871605546,0.0598900648125359,0.0602182295512347,0.0520551316761014,0.0430306013618837,0.048404298958077,0.0372466978423168,0.00397899745672328,0.0176798752973993,0.0144392485027484,0.00529165641151858,0.00397899745672328,0.000574288292722947,0.0703913364508983,0.0623923209451144,0.0749446222003446,0.0755599310854049,0.0766674870785134,0.0747805398309952,0.0828615965214538,0.062105176798753,0.0829436377061285,0.0580851587496923,0.0720321601443925,0.0721962425137419,0.0591106735581262,0.0571416851259332,0.00488145048814505,0.0602592501435721,0.0603002707359094,0.0572647469029453,0.0605463942899335,0.0593978177044877,0.0591516941504635,0.0604643531052588,0.0593567971121503,0.0533267700385594,0.0588235294117647,0.0577159734186562,0.0579620969726803,0.0593978177044877,0.0611206825826565,0.0570596439412585,0.00131265895479531,0.00110755599310854,0.0189925342521946,0.0667405037328739,0.0840922142915744,0.0685043892033801,0.0632127327918615,0.0610796619903191,0.0821642464517188
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae",0.00627615062761506,0.00972188038395275,0.00266633850192797,0.00352777094101239,0.00717860365903684,0.0105012716383625,0.168963819837558,0.155509065550907,0.38871113298876,0.0590696529657888,0.12088768561818,0.402576093198786,0.560013126589548,0.443924850274838,0.0234227582246288,0.0358519977028468,0.0251046025104603,0.0131676101402904,0.00500451226515711,0.00590696529657888,0.00574288292722947,0.00373287390269915,0.0114857658544589,0.0055377799655427,0.00217409139387973,0.00561982115021741,0.006153088850603,0.00274837968660267,0.00512757404216917,0.0418820247764378,0.00319960620231356,0.00250225613257855,0.00250225613257855,0.00278940027894003,0.00324062679465091,0.00348675034867503,0.0367134301419312,0.00402001804906063,0.00360981212568709,0.00393797686438592,0.00295348264828944,0.00336368857166297,0.00488145048814505,0.00324062679465091,0.00274837968660267,0.0336779063089671,0.016367216342604,0.00217409139387973,0.0036918533103618,0.00705554188202478,0.00631717121995242,0.00402001804906063,0.00570186233489212,0.00619410944294036
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae",0.0395438510132086,0.0445483632783657,0.0285093116744606,0.0441791779473296,0.0453277545327755,0.0461481663795225,0.0379850685043892,0.0384362950201001,0.0256378702108458,0.00377389449503651,0.00648125358930183,0.00886044794486832,0.0210435638690623,0.0180080400360981,0.00217409139387973,0.0244892936253999,0.0244072524407252,0.0260890967265567,0.0251046025104603,0.0270325703503159,0.0261301173188941,0.0312987119534006,0.0275658380507015,0.0280170645664123,0.0344162769710395,0.0299860529986053,0.0295348264828944,0.048404298958077,0.0465173517105587,0.027976043974075,0.0415538600377389,0.0432767249159078,0.0455738780867996,0.0435228484699319,0.0452046927557634,0.0454097957174502,0.0462712281565346,0.0452457133481007,0.0485683813274264,0.0474608253343178,0.0485683813274264,0.0460251046025105,0.0481581754040528,0.0475018459266552,0.0400771187135942,0.0475838871113299,0.0306013618836656,0.00840922142915744,0.0280170645664123,0.0242431700713758,0.0337599474936418,0.0330625974239068,0.0354417917794733,0.0297809500369185
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Betaproteobacteriales|f__Burkholderiaceae",0.0590696529657888,0.0353597505947986,0.0342111740093527,0.034826482894413,0.0343342357863648,0.0310936089917138,0.0270325703503159,0.0285913528591353,0.0205102961686767,0.00447124456477152,0.0060710476659283,0.00295348264828944,0.00935269505291656,0.00804003609812126,0.00229715317089179,0.0157519074575437,0.0109935187464107,0.0189104930675199,0.0159159898268931,0.0164492575272787,0.0202231520223152,0.017064566412339,0.0177208958897366,0.0209615226843876,0.0626384444991386,0.0568135203872344,0.0306013618836656,0.0327754532775453,0.0375748625810157,0.0319140208384609,0.0356879153334974,0.034826482894413,0.0338419886783165,0.0365493477725818,0.0355648535564854,0.0332677003855936,0.0542292230699811,0.0380671096890639,0.0375338419886783,0.0402001804906063,0.0395028304208713,0.0359340388875215,0.038313233243088,0.0345803593403889,0.0313807531380753,0.0479120518500287,0.0456969398638116,0.00697350069735007,0.0228074493395685,0.0203462137993273,0.0231356140782673,0.0241611288867011,0.0297809500369185,0.0158749692345557
"k__Bacteria|p__Rokubacteria|c__NC10|o__Rokubacteriales|f__",0.0158339486422184,0.0165723193042908,0.0124702600705554,0.0133727131019772,0.0141521043563869,0.0133727131019772,0.0114037246697842,0.0113216834851095,0.0109935187464107,0.0024612355402412,0.0151776191648207,0.0136188366560013,0.00176388547050619,0.00274837968660267,0.000287144146361473,0.0517679875297399,0.0158339486422184,0.05455738780868,0.0641562064156206,0.0742062515382722,0.0575108704569694,0.0657560095167774,0.0627204856838133,0.0663302978095004,0.0518500287144146,0.0519730904914267,0.0470095988186069,0.0151776191648207,0.019156616621544,0.000943473623759127,0.0165723193042908,0.0182541635901222,0.0168594634506522,0.0180490606284355,0.0187464106981705,0.0171055870046763,0.0179670194437608,0.0157519074575437,0.0161210927885799,0.0165723193042908,0.0160800721962425,0.0178849782590861,0.0184182459594717,0.0167774222659775,0.0147674132414472,0.00410205923373533,0.00131265895479531,0.0146853720567725,0.0587004676347526,0.0632127327918615,0.0626794650914759,0.0509885962753302,0.0528755435228485,0.0561982115021741
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Betaproteobacteriales|f__Nitrosomonadaceae",0.0247354171794241,0.023915005332677,0.0147263926491099,0.0263762408729182,0.0268684879809664,0.0238329641480023,0.0199360078759537,0.0187464106981705,0.0147674132414472,0.00139470013947001,0.0048404298958077,0.00295348264828944,0.00319960620231356,0.00229715317089179,0.000287144146361473,0.023217655262942,0.0261301173188941,0.0189925342521946,0.021248666830749,0.019853966691279,0.0208384609073755,0.0249405201411108,0.0216588727541226,0.0162031339732546,0.0194437607679055,0.0183772253671343,0.023915005332677,0.0246943965870867,0.0232586758552794,0.000164082369349413,0.0272376733120026,0.0262121585035688,0.0276068586430388,0.0254737878414964,0.0253507260644844,0.0219870374928214,0.0234637788169661,0.0246943965870867,0.025309705472147,0.0269505291656412,0.0189925342521946,0.025309705472147,0.0262121585035688,0.0251456231027976,0.0271966527196653,0.00418410041841004,0.00135367954713266,0.00414307982607269,0.0203872343916646,0.0247354171794241,0.0220690786774961,0.021822955123472,0.0188694724751825,0.020428254984002
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae",0.0330215768315694,0.0338009680859792,0.0177208958897366,0.0343342357863648,0.034826482894413,0.0352777094101239,0.0240790877020264,0.0234637788169661,0.0184182459594717,0.000410205923373534,0.000902453031421774,0.00049224710804824,0.00832718024448273,0.000779391254409714,0.000205102961686767,0.000656329477397654,0.00086143243908442,0.00176388547050619,0.00151776191648207,0.00188694724751825,0.00106653540077119,0.0006153088850603,0.00139470013947001,0.00213307080154237,0.00139470013947001,0.00196898843219296,0.00159980310115678,0.0346624005250636,0.0367544507342686,0.053285749446222,0.0368775125112807,0.0383542538354254,0.0359340388875215,0.0350726064484371,0.0323652473541718,0.0343752563787021,0.0333907621626056,0.0366313889572565,0.0349085240790877,0.0328985150545574,0.0343752563787021,0.0349085240790877,0.0330625974239068,0.0302731971449668,0.0360571006645336,0.0537369759619329,0.00726064484371154,0.0006153088850603,0.00525063581918123,0.00159980310115678,0.00344572975633768,0.00525063581918123,0.00295348264828944,0.00303552383296415
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae",0.0284272704897859,0.0342111740093527,0.0200180490606284,0.0354417917794733,0.0325293297235212,0.0334728033472803,0.0263762408729182,0.0256788908031832,0.0185002871441464,0.0098449421609648,0.00586594470424153,0.005455738780868,0.0234637788169661,0.00406103864139798,0.00611206825826565,0.0128394454015916,0.00951677742226598,0.0207974403150381,0.00397899745672328,0.00537369759619329,0.0049224710804824,0.00151776191648207,0.019730904914267,0.00697350069735007,0.00135367954713266,0.00221511198621708,0.00869636557551891,0.0298629912215932,0.0288784970054968,0.0315038149150874,0.0291656411518582,0.0301091147756174,0.0335138239396177,0.0311346295840512,0.0269095085733038,0.0275658380507015,0.0298629912215932,0.032160144392485,0.0298219706292559,0.0288374764131594,0.0296168676675691,0.0268684879809664,0.025309705472147,0.027401755681352,0.0283042087127738,0.0375338419886783,0.00344572975633768,0.00086143243908442,0.00352777094101239,0.00315858560997621,0.00402001804906063,0.00397899745672328,0.00344572975633768,0.00455328574944622
