Taxa,CCCHF2,CCCHF3,CCCHF5,CCCSF1,CCCSF3,CCCSF4,CCMEF1,CCMEF4,CCMEF5,HDCHF2,HDCHF4,HDCHF5,HDCSF1,HDCSF2,HDCSF4,HDMEF2,HDMEF3,HDMEF5,HSPCHF1,HSPCHF2,HSPCHF3,HSPCSF2,HSPCSF3,HSPCSF5,HSPMEF3,HSPMEF4,HSPMEF5,SSBCHF1,SSBCHF3,SSBCHF4,SSBCSF1,SSBCSF3,SSBCSF4,SSBMEF2,SSBMEF4,SSBMEF5,XGCHF1,XGCHF3,XGCHF4,XGCSF1,XGCSF2,XGCSF3,XGMEF1,XGMEF2,XGMEF3,YSCHF1,YSCHF4,YSCHF5,YSCSF1,YSCSF3,YSCSF5,YSMEF1,YSMEF3,YSMEF4
p__Acidobacteria_c__Subgroup_6_o___f__,0.126138321,0.128066289,0.083435885,0.1191238,0.124497498,0.122692592,0.102141275,0.102756584,0.075847075,0.004389203,0.023997047,0.018049061,0.012183116,0.008655345,0.002297153,0.082697514,0.181023874,0.100295348,0.100623513,0.098818607,0.10525884,0.097218804,0.096193289,0.101608007,0.098654525,0.086061203,0.103823119,0.130240381,0.128435475,0.010911478,0.13503979,0.128886701,0.127984248,0.125235868,0.131347937,0.131019772,0.120887686,0.129378948,0.131799163,0.126917713,0.127779145,0.128722619,0.131306916,0.129460989,0.137049799,0.01312659,0.003363689,0.023709902,0.103043728,0.102961687,0.087784068,0.107514973,0.084707523,0.117565018
p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae,0.010952498,0.018787431,0.351382394,0.017720896,0.013988022,0.018500287,0.018787431,0.022684388,0.010255148,0.567437854,0.402658134,0.065591927,0.160308475,0.309295266,0.930470096,0.09418328,0.034170153,0.055623923,0.038313233,0.043399787,0.044015096,0.003199606,0.042374272,0.040651407,0.03392403,0.032898515,0.036303224,0.01386496,0.016982525,0.034375256,0.010542292,0.007834933,0.007670851,0.008942489,0.01177291,0.016736402,0.00972188,0.010993519,0.012388219,0.010296169,0.009926983,0.007342686,0.010214127,0.009885963,0.007999016,0.034129133,0.004389203,0.748338666,0.035728936,0.0276889,0.060464353,0.016244155,0.016121093,0.014849454
p__Gemmatimonadetes_c__Gemmatimonadetes_o__Gemmatimonadales_f__Gemmatimonadaceae,0.057264747,0.061079662,0.039584872,0.059890065,0.06021823,0.052055132,0.043030601,0.048404299,0.037246698,0.003978997,0.017679875,0.014439249,0.005291656,0.003978997,0.000574288,0.070391336,0.062392321,0.074944622,0.075559931,0.076667487,0.07478054,0.082861597,0.062105177,0.082943638,0.058085159,0.07203216,0.072196243,0.059110674,0.057141685,0.00488145,0.06025925,0.060300271,0.057264747,0.060546394,0.059397818,0.059151694,0.060464353,0.059356797,0.05332677,0.058823529,0.057715973,0.057962097,0.059397818,0.061120683,0.057059644,0.001312659,0.001107556,0.018992534,0.066740504,0.084092214,0.068504389,0.063212733,0.061079662,0.082164246
p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Pseudomonadaceae,0.006276151,0.00972188,0.002666339,0.003527771,0.007178604,0.010501272,0.16896382,0.155509066,0.388711133,0.059069653,0.120887686,0.402576093,0.560013127,0.44392485,0.023422758,0.035851998,0.025104603,0.01316761,0.005004512,0.005906965,0.005742883,0.003732874,0.011485766,0.00553778,0.002174091,0.005619821,0.006153089,0.00274838,0.005127574,0.041882025,0.003199606,0.002502256,0.002502256,0.0027894,0.003240627,0.00348675,0.03671343,0.004020018,0.003609812,0.003937977,0.002953483,0.003363689,0.00488145,0.003240627,0.00274838,0.033677906,0.016367216,0.002174091,0.003691853,0.007055542,0.006317171,0.004020018,0.005701862,0.006194109
p__Proteobacteria_c__Alphaproteobacteria_o__Sphingomonadales_f__Sphingomonadaceae,0.039543851,0.044548363,0.028509312,0.044179178,0.045327755,0.046148166,0.037985069,0.038436295,0.02563787,0.003773894,0.006481254,0.008860448,0.021043564,0.01800804,0.002174091,0.024489294,0.024407252,0.026089097,0.025104603,0.02703257,0.026130117,0.031298712,0.027565838,0.028017065,0.034416277,0.029986053,0.029534826,0.048404299,0.046517352,0.027976044,0.04155386,0.043276725,0.045573878,0.043522848,0.045204693,0.045409796,0.046271228,0.045245713,0.048568381,0.047460825,0.048568381,0.046025105,0.048158175,0.047501846,0.040077119,0.047583887,0.030601362,0.008409221,0.028017065,0.02424317,0.033759947,0.033062597,0.035441792,0.02978095
p__Proteobacteria_c__Gammaproteobacteria_o__Betaproteobacteriales_f__Burkholderiaceae,0.059069653,0.035359751,0.034211174,0.034826483,0.034334236,0.031093609,0.02703257,0.028591353,0.020510296,0.004471245,0.006071048,0.002953483,0.009352695,0.008040036,0.002297153,0.015751907,0.010993519,0.018910493,0.01591599,0.016449258,0.020223152,0.017064566,0.017720896,0.020961523,0.062638444,0.05681352,0.030601362,0.032775453,0.037574863,0.031914021,0.035687915,0.034826483,0.033841989,0.036549348,0.035564854,0.0332677,0.054229223,0.03806711,0.037533842,0.04020018,0.03950283,0.035934039,0.038313233,0.034580359,0.031380753,0.047912052,0.04569694,0.006973501,0.022807449,0.020346214,0.023135614,0.024161129,0.02978095,0.015874969
p__Rokubacteria_c__NC10_o__Rokubacteriales_f__,0.015833949,0.016572319,0.01247026,0.013372713,0.014152104,0.013372713,0.011403725,0.011321683,0.010993519,0.002461236,0.015177619,0.013618837,0.001763885,0.00274838,0.000287144,0.051767988,0.015833949,0.054557388,0.064156206,0.074206252,0.05751087,0.06575601,0.062720486,0.066330298,0.051850029,0.05197309,0.047009599,0.015177619,0.019156617,0.000943474,0.016572319,0.018254164,0.016859463,0.018049061,0.018746411,0.017105587,0.017967019,0.015751907,0.016121093,0.016572319,0.016080072,0.017884978,0.018418246,0.016777422,0.014767413,0.004102059,0.001312659,0.014685372,0.058700468,0.063212733,0.062679465,0.050988596,0.052875544,0.056198212
p__Proteobacteria_c__Gammaproteobacteria_o__Betaproteobacteriales_f__Nitrosomonadaceae,0.024735417,0.023915005,0.014726393,0.026376241,0.026868488,0.023832964,0.019936008,0.018746411,0.014767413,0.0013947,0.00484043,0.002953483,0.003199606,0.002297153,0.000287144,0.023217655,0.026130117,0.018992534,0.021248667,0.019853967,0.020838461,0.02494052,0.021658873,0.016203134,0.019443761,0.018377225,0.023915005,0.024694397,0.023258676,0.000164082,0.027237673,0.026212159,0.027606859,0.025473788,0.025350726,0.021987037,0.023463779,0.024694397,0.025309705,0.026950529,0.018992534,0.025309705,0.026212159,0.025145623,0.027196653,0.0041841,0.00135368,0.00414308,0.020387234,0.024735417,0.022069079,0.021822955,0.018869472,0.020428255
p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Moraxellaceae,0.033021577,0.033800968,0.017720896,0.034334236,0.034826483,0.035277709,0.024079088,0.023463779,0.018418246,0.000410206,0.000902453,0.000492247,0.00832718,0.000779391,0.000205103,0.000656329,0.000861432,0.001763885,0.001517762,0.001886947,0.001066535,0.000615309,0.0013947,0.002133071,0.0013947,0.001968988,0.001599803,0.034662401,0.036754451,0.053285749,0.036877513,0.038354254,0.035934039,0.035072606,0.032365247,0.034375256,0.033390762,0.036631389,0.034908524,0.032898515,0.034375256,0.034908524,0.033062597,0.030273197,0.036057101,0.053736976,0.007260645,0.000615309,0.005250636,0.001599803,0.00344573,0.005250636,0.002953483,0.003035524
p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae,0.02842727,0.034211174,0.020018049,0.035441792,0.03252933,0.033472803,0.026376241,0.025678891,0.018500287,0.009844942,0.005865945,0.005455739,0.023463779,0.004061039,0.006112068,0.012839445,0.009516777,0.02079744,0.003978997,0.005373698,0.004922471,0.001517762,0.019730905,0.006973501,0.00135368,0.002215112,0.008696366,0.029862991,0.028878497,0.031503815,0.029165641,0.030109115,0.033513824,0.03113463,0.026909509,0.027565838,0.029862991,0.032160144,0.029821971,0.028837476,0.029616868,0.026868488,0.025309705,0.027401756,0.028304209,0.037533842,0.00344573,0.000861432,0.003527771,0.003158586,0.004020018,0.003978997,0.00344573,0.004553286
p__Firmicutes_c__Erysipelotrichia_o__Erysipelotrichales_f__Erysipelotrichaceae,0.033513824,0.033390762,0.022602346,0.030109115,0.030519321,0.030314218,0.028222168,0.026950529,0.018377225,0.000369185,0.000451227,0.000656329,0.006030027,0.003281647,0.000328165,0.003158586,0.003322668,0.011978013,0.001230618,0.001681844,0.001968988,0.000492247,0.006727377,0.00348675,0.0013947,0.002379194,0.008778407,0.033759947,0.031093609,0.033390762,0.031873,0.031873,0.028345229,0.033883009,0.034088112,0.032078103,0.03183198,0.034047092,0.03183198,0.034990565,0.032693412,0.034375256,0.031421774,0.03113463,0.031421774,0.006850439,0.003199606,0.000820412,0.002994503,0.002256133,0.00209205,0.004676348,0.001968988,0.003404709
