Domain,Phylum ,Class,Order,Family
OTU1,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU2,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae
OTU3,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae
OTU4,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae
OTU5,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae
OTU6,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae
OTU7,p__Rokubacteria,c__NC10,o__Rokubacteriales,f__
OTU8,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Nitrosomonadaceae
OTU9,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae
OTU10,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae
OTU11,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae
OTU12,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae
OTU13,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae
OTU14,p__Nitrospirae,c__Nitrospira,o__Nitrospirales,f__Nitrospiraceae
OTU15,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae
OTU16,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae
OTU17,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae
OTU18,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae
OTU19,p__Gemmatimonadetes,c__S0134_terrestrial_group,o__,f__
OTU20,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Haliangiaceae
OTU21,p__Proteobacteria,c__Alphaproteobacteria,o__Tistrellales,f__Geminicoccaceae
OTU22,p__Acidobacteria,c__Blastocatellia_Subgroup_4,o__Pyrinomonadales,f__Pyrinomonadaceae
OTU23,p__Proteobacteria,c__Deltaproteobacteria,o__,f__
OTU24,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae
OTU25,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
OTU26,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae
OTU27,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae
OTU28,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae
OTU29,p__Acidobacteria,c__Acidobacteriia,o__Solibacterales,f__Solibacteraceae_Subgroup_3
OTU30,p__Acidobacteria,c__Subgroup_17,o__,f__
OTU31,p__Chloroflexi,c__KD4-96,o__,f__
OTU32,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__
OTU33,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__SC-I-84
OTU34,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae
OTU35,p__Proteobacteria,c__Gammaproteobacteria,o__,f__
OTU36,p__Acidobacteria,c__Thermoanaerobaculia,o__Thermoanaerobaculales,f__Thermoanaerobaculaceae
OTU37,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae
OTU38,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b
OTU39,p__Proteobacteria,c__Alphaproteobacteria,o__,f__
OTU40,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae
OTU41,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae
OTU42,p__Chloroflexi,c__Anaerolineae,o__,f__
OTU43,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae
OTU44,p__Chloroflexi,c__Gitt-GS-136,o__,f__
OTU45,p__Acidobacteria,c__Subgroup_6,o__uncultivated_soil_bacterium_clone_C112,f__
OTU46,p__Proteobacteria,c__Alphaproteobacteria,o__Dongiales,f__Dongiaceae
OTU47,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae
OTU48,p__Acidobacteria,c__Holophagae,o__Subgroup_7,f__
OTU49,p__Proteobacteria,c__Alphaproteobacteria,o__Reyranellales,f__Reyranellaceae
OTU50,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__TRA3-20
OTU51,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Sandaracinaceae
OTU52,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae
OTU53,p__Proteobacteria,c__Gammaproteobacteria,o__Salinisphaerales,f__Solimonadaceae
OTU54,p__Chloroflexi,c__Ktedonobacteria,o__C0119,f__
OTU55,p__Actinobacteria,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae
OTU56,p__Acidobacteria,c__Blastocatellia_Subgroup_4,o__Blastocatellales,f__Blastocatellaceae
OTU57,p__Chloroflexi,c__OLB14,o__,f__
OTU58,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae
OTU59,p__Proteobacteria,c__Alphaproteobacteria,o__Elsterales,f__
OTU60,p__Acidobacteria,c__Subgroup_6,o__Acidobacteria_bacterium_IGE-011,f__
OTU61,p__Actinobacteria,c__Acidimicrobiia,o__,f__
OTU62,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae_1
OTU63,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__
OTU64,p__Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__JG30-KF-CM45
OTU65,p__Chloroflexi,c__Dehalococcoidia,o__S085,f__
OTU66,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Devosiaceae
OTU67,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__BIrii41
OTU68,p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Akkermansiaceae
OTU69,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae
OTU70,p__Proteobacteria,c__Gammaproteobacteria,o__CCD24,f__
OTU71,p__Acidobacteria,c__Subgroup_25,o__,f__
OTU72,p__Planctomycetes,c__Phycisphaerae,o__Tepidisphaerales,f__
OTU73,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Rickettsiaceae
OTU74,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae
OTU75,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae
OTU76,p__Actinobacteria,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae
OTU77,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae
OTU78,p__Firmicutes,c__Bacilli,o__Bacillales,f__Family_XII
OTU79,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae
OTU80,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__
OTU81,p__Actinobacteria,c__Acidimicrobiia,o__Microtrichales,f__
OTU82,p__Actinobacteria,c__Acidimicrobiia,o__IMCC26256,f__
OTU83,p__Actinobacteria,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae
OTU84,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae
OTU85,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__
OTU86,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__
OTU87,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae
OTU88,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Polyangiaceae
OTU89,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae
OTU90,p__Gemmatimonadetes,c__BD2-11_terrestrial_group,o__,f__
OTU91,p__Gemmatimonadetes,c__AKAU4049,o__,f__
OTU92,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae
OTU93,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Amoebophilaceae
OTU94,p__Actinobacteria,c__MB-A2-108,o__,f__
OTU95,p__Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__AKYG1722
OTU96,p__Actinobacteria,c__Actinobacteria,o__Frankiales,f__Geodermatophilaceae
OTU97,p__Planctomycetes,c__OM190,o__,f__
OTU98,p__Verrucomicrobia,c__Verrucomicrobiae,o__Chthoniobacterales,f__Chthoniobacteraceae
OTU99,p__Latescibacteria,c__,o__,f__
OTU100,p__Actinobacteria,c__Acidimicrobiia,o__Microtrichales,f__Iamiaceae
OTU101,p__Actinobacteria,c__Acidimicrobiia,o__Actinomarinales,f__
OTU102,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Hyphomonadaceae
OTU103,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Halomonadaceae
OTU104,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Methylophilaceae
OTU105,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae
OTU106,p__Chloroflexi,c__TK10,o__,f__
OTU107,p__Proteobacteria,c__Alphaproteobacteria,o__Azospirillales,f__
OTU108,p__Gemmatimonadetes,c__Longimicrobia,o__Longimicrobiales,f__Longimicrobiaceae
OTU109,p__Chloroflexi,c__JG30-KF-CM66,o__,f__
OTU110,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae
OTU111,p__Actinobacteria,c__Actinobacteria,o__Frankiales,f__
OTU112,p__Actinobacteria,c__Thermoleophilia,o__Gaiellales,f__
OTU113,p__Verrucomicrobia,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae
OTU114,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__KF-JG30-B3
OTU115,p__Proteobacteria,c__Gammaproteobacteria,o__PLTA13,f__
OTU116,p__Actinobacteria,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae
OTU117,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae
OTU118,p__Spirochaetes,c__MVP-15,o__,f__
OTU119,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae
OTU120,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae
OTU121,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae
OTU122,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfarculales,f__Desulfarculaceae
OTU123,p__Epsilonbacteraeota,c__Campylobacteria,o__Campylobacterales,f__Helicobacteraceae
OTU124,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae
OTU125,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Dietziaceae
OTU126,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae
OTU127,p__Elusimicrobia,c__Elusimicrobia,o__Lineage_IV,f__
OTU128,p__Acidobacteria,c__Subgroup_5,o__,f__
OTU129,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae
OTU130,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae
OTU131,p__Proteobacteria,c__Deltaproteobacteria,o__Bdellovibrionales,f__Bdellovibrionaceae
OTU132,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae
OTU133,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Saprospiraceae
OTU134,p__Planctomycetes,c__Planctomycetacia,o__Isosphaerales,f__Isosphaeraceae
OTU135,p__Chloroflexi,c__Anaerolineae,o__Ardenticatenales,f__
OTU136,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Phaselicystidaceae
OTU137,p__Acidobacteria,c__Blastocatellia_Subgroup_4,o__DS-100,f__
OTU138,p__Bacteroidetes,c__Rhodothermia,o__Rhodothermales,f__Rhodothermaceae
OTU139,p__Cyanobacteria,c__Oxyphotobacteria,o__Nostocales,f__Coleofasciculaceae
OTU140,p__Actinobacteria,c__Thermoleophilia,o__Solirubrobacterales,f__67-14
OTU141,p__Fibrobacteres,c__Fibrobacteria,o__Fibrobacterales,f__Fibrobacteraceae
OTU142,p__Proteobacteria,c__Alphaproteobacteria,o__Azospirillales,f__Azospirillaceae
OTU143,p__Actinobacteria,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae
OTU144,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae
OTU145,p__Bacteroidetes,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae
OTU146,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae
OTU147,p__Tenericutes,c__Mollicutes,o__Mycoplasmatales,f__Mycoplasmataceae
OTU148,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Shewanellaceae
OTU149,p__Proteobacteria,c__Alphaproteobacteria,o__Micropepsales,f__Micropepsaceae
OTU150,p__Bacteroidetes,c__Ignavibacteria,o__OPB56,f__
OTU151,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadaceae
OTU152,p__Proteobacteria,c__Deltaproteobacteria,o__NB1-j,f__
OTU153,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae
OTU154,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Spirosomaceae
OTU155,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Cellulomonadaceae
OTU156,p__Chloroflexi,c__Dehalococcoidia,o__S085,f__bacterium_YC-LK-LKJ27
OTU157,p__Chloroflexi,c__P2-11E,o__,f__
OTU158,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__mle1-27
