"Taxa","CCCHF2","CCCHF3","CCCHF5","CCCSF1","CCCSF3","CCCSF4","CCMEF1","CCMEF4","CCMEF5","HDCHF2","HDCHF4","HDCHF5","HDCSF1","HDCSF2","HDCSF4","HDMEF2","HDMEF3","HDMEF5","HSPCHF1","HSPCHF2","HSPCHF3","HSPCSF2","HSPCSF3","HSPCSF5","HSPMEF3","HSPMEF4","HSPMEF5","SSBCHF1","SSBCHF3","SSBCHF4","SSBCSF1","SSBCSF3","SSBCSF4","SSBMEF2","SSBMEF4","SSBMEF5","XGCHF1","XGCHF3","XGCHF4","XGCSF1","XGCSF2","XGCSF3","XGMEF1","XGMEF2","XGMEF3","YSCHF1","YSCHF4","YSCHF5","YSCSF1","YSCSF3","YSCSF5","YSMEF1","YSMEF3","YSMEF4"
"k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__|f__|g__",0.126138321437362,0.128066289277217,0.0834358848141767,0.119123800147674,0.124497497743867,0.122692591681024,0.10214127492001,0.10275658380507,0.0758470752317663,0.00438920338009681,0.0239970465173517,0.0180490606284355,0.0121831159241939,0.00865534498318156,0.00229715317089179,0.0826975141521044,0.18102387398474,0.100295348264829,0.100623513003528,0.0988186069406842,0.105258839937649,0.0972188038395274,0.0961932890310936,0.101608007219624,0.0986545245713348,0.0860612027237673,0.103823119205841,0.130240380671097,0.128435474608253,0.010911477561736,0.135039789974567,0.128886701123964,0.127984248092542,0.12523586840594,0.131347936664205,0.131019771925507,0.12088768561818,0.129378948232012,0.131799163179916,0.126917712691771,0.127779145130856,0.128722618754615,0.131306916071868,0.129460989416687,0.137049798999098,0.0131265895479531,0.00336368857166297,0.0237099023709902,0.103043727951432,0.102961686766757,0.0877840676019362,0.107514972516203,0.0847075231766347,0.117565017638855
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Pantoea",0.00406103864139798,0.0118139305931578,0.322216752809911,0.0042251210107474,0.00213307080154237,0.0048404298958077,0.00902453031421774,0.012880465993929,0.00557880055788006,0.563048650422512,0.395479530724424,0.0592337353351382,0.145048814504881,0.295307244236607,0.929157437033391,0.0567314792025597,0.0230535728935926,0.0129625071786037,0.00356879153334974,0.00131265895479531,0.00131265895479531,0.000656329477397654,0.00250225613257855,0.00209205020920502,0.00336368857166297,0.000902453031421774,0.00311756501763885,0.000451226515710887,0.00118959717778325,0.00180490606284355,0.000943473623759127,0.000164082369349413,0.000574288292722947,0.000533267700385594,0.000779391254409714,0.00106653540077119,0.00180490606284355,0.00098449421609648,0.00467634752645828,0.00131265895479531,0.00217409139387973,0.00098449421609648,0.00229715317089179,0.00164082369349413,0.000820411846747067,0.00385593567971121,0.00155878250881943,0.746984986463205,0.00229715317089179,0.00229715317089179,0.0343752563787021,0.0112806628927722,0.013003527770941,0.0116908688161457
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas",0.00627615062761506,0.00972188038395275,0.00266633850192797,0.00352777094101239,0.00717860365903684,0.0105012716383625,0.168963819837558,0.155509065550907,0.38871113298876,0.0590696529657888,0.12088768561818,0.402576093198786,0.560013126589548,0.443924850274838,0.0234227582246288,0.0358519977028468,0.0251046025104603,0.0131676101402904,0.00500451226515711,0.00590696529657888,0.00574288292722947,0.00373287390269915,0.0114857658544589,0.0055377799655427,0.00217409139387973,0.00561982115021741,0.006153088850603,0.00274837968660267,0.00512757404216917,0.0418820247764378,0.00319960620231356,0.00250225613257855,0.00250225613257855,0.00278940027894003,0.00324062679465091,0.00348675034867503,0.0367134301419312,0.00402001804906063,0.00360981212568709,0.00393797686438592,0.00295348264828944,0.00336368857166297,0.00488145048814505,0.00324062679465091,0.00274837968660267,0.0336779063089671,0.016367216342604,0.00217409139387973,0.0036918533103618,0.00705554188202478,0.00631717121995242,0.00402001804906063,0.00570186233489212,0.00619410944294036
"k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__",0.0370005742882927,0.0393797686438592,0.0267454262039544,0.0393387480515219,0.0403232422676183,0.035523832964148,0.0287144146361473,0.0308064648453524,0.0227254081548938,0.00311756501763885,0.0147674132414472,0.0117729100008204,0.0042251210107474,0.00315858560997621,0.000533267700385594,0.0550496349167282,0.0596029206661744,0.05734678808762,0.0591516941504635,0.0598490442201985,0.0604233325129215,0.0671917302485848,0.0466404134875708,0.0634178357535483,0.0457789810484863,0.0563622938715235,0.0542292230699811,0.0404873246369678,0.0363442448108951,0.00287144146361473,0.037615883173353,0.042251210107474,0.0389285421281483,0.0394207892361966,0.0369595536959554,0.0378620067273771,0.0372466978423168,0.0393387480515219,0.0354007711871359,0.0388465009434736,0.0374518008040036,0.0373287390269915,0.0379440479120519,0.0417589629994257,0.0390926244974977,0.000943473623759127,0.000943473623759127,0.0153827221265075,0.0502912462055952,0.0641151858232833,0.0565263762408729,0.0520141110837641,0.0490606284354746,0.0631717121995242
"k__Bacteria|p__Rokubacteria|c__NC10|o__Rokubacteriales|f__|g__",0.0158339486422184,0.0165723193042908,0.0124702600705554,0.0133727131019772,0.0141521043563869,0.0133727131019772,0.0114037246697842,0.0113216834851095,0.0109935187464107,0.0024612355402412,0.0151776191648207,0.0136188366560013,0.00176388547050619,0.00274837968660267,0.000287144146361473,0.0517679875297399,0.0158339486422184,0.05455738780868,0.0641562064156206,0.0742062515382722,0.0575108704569694,0.0657560095167774,0.0627204856838133,0.0663302978095004,0.0518500287144146,0.0519730904914267,0.0470095988186069,0.0151776191648207,0.019156616621544,0.000943473623759127,0.0165723193042908,0.0182541635901222,0.0168594634506522,0.0180490606284355,0.0187464106981705,0.0171055870046763,0.0179670194437608,0.0157519074575437,0.0161210927885799,0.0165723193042908,0.0160800721962425,0.0178849782590861,0.0184182459594717,0.0167774222659775,0.0147674132414472,0.00410205923373533,0.00131265895479531,0.0146853720567725,0.0587004676347526,0.0632127327918615,0.0626794650914759,0.0509885962753302,0.0528755435228485,0.0561982115021741
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas",0.0278119616047256,0.0322832061694971,0.0207974403150381,0.0308474854376897,0.0318730002461236,0.0333497415702683,0.0277709410123882,0.0269505291656412,0.0187053901058331,0.00242021494790385,0.00451226515710887,0.00656329477397654,0.0169415046353269,0.0155057839035196,0.0012306177701206,0.0161621133809172,0.0153006809418328,0.0158339486422184,0.0157519074575437,0.0180490606284355,0.0181721224054475,0.0206333579456887,0.0193617195832308,0.0178849782590861,0.025309705472147,0.0210025432767249,0.0185002871441464,0.0349085240790877,0.0349085240790877,0.0158749692345557,0.0288374764131594,0.0298629912215932,0.0338009680859792,0.0312166707687259,0.0326113709081959,0.0318319796537862,0.0306013618836656,0.0322832061694971,0.0339240298629912,0.0338830092706539,0.0353187300024612,0.0315448355074247,0.0325293297235212,0.0342521946016901,0.0278119616047256,0.0322421855771597,0.0121010747395192,0.00590696529657888,0.0190745754368693,0.0153417015341702,0.0208794814997129,0.0190745754368693,0.0182131429977849,0.0186643695134958
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Cavicella",0.0318730002461236,0.0322011649848224,0.0167364016736402,0.0331856592009189,0.0324472885388465,0.0326934120928706,0.0223972434161949,0.0220280580851588,0.0174337517433752,0.000205102961686767,4.10205923373534e-05,4.10205923373534e-05,8.20411846747067e-05,0.000205102961686767,0.00012306177701206,0.00012306177701206,0.00012306177701206,0.00012306177701206,0.000164082369349413,8.20411846747067e-05,0.000287144146361473,0.00012306177701206,4.10205923373534e-05,0.000410205923373534,0.000164082369349413,4.10205923373534e-05,0.000287144146361473,0.0327754532775453,0.035523832964148,0.00098449421609648,0.0358930182951842,0.036918533103618,0.0344162769710395,0.0335958651242924,0.0310525883993765,0.0333087209779309,0.032037082615473,0.0356468947411601,0.0339240298629912,0.0317499384691115,0.0323652473541718,0.0342111740093527,0.0315038149150874,0.0294527852982197,0.0350315858560998,0,0,4.10205923373534e-05,0.000287144146361473,0.00024612355402412,0.000205102961686767,0.00155878250881943,0.000328164738698827,8.20411846747067e-05
"k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira",0.0172696693740258,0.0169415046353269,0.0114447452621216,0.019730904914267,0.0159570104192305,0.0166953810813028,0.0175568135203872,0.0150135367954713,0.00980392156862745,0.000943473623759127,0.00529165641151858,0.00332266797932562,0.00196898843219296,0.00188694724751825,0.00073837066207236,0.0126753630322422,0.00455328574944622,0.0178439576667487,0.0172286487816884,0.014398227910411,0.0202641726146526,0.0203051932069899,0.0175157929280499,0.0145623102797604,0.0153006809418328,0.0188694724751825,0.0151776191648207,0.015792928049881,0.0193206989908934,0.00127163836245795,0.0186233489211584,0.0172286487816884,0.0198949872836164,0.0182541635901222,0.0192796783985561,0.0194027401755681,0.0185002871441464,0.0194847813602428,0.0189925342521946,0.0194847813602428,0.0194437607679055,0.0175978341127246,0.0178029370744114,0.0181311018131102,0.0189104930675199,0.00496349167281976,0.00225613257855443,0.00414307982607269,0.016367216342604,0.017761916482074,0.0160390516039052,0.0164082369349413,0.0152186397571581,0.0150545573878087
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__",0.019033554844532,0.0230945934859299,0.0139059808023628,0.0236278611863155,0.0216178521617852,0.0225613257855443,0.017761916482074,0.0185413077364837,0.0147674132414472,0.00131265895479531,0.00221511198621708,0.00127163836245795,0.0115267864467963,0.00225613257855443,0.000820411846747067,0.00451226515710887,0.00291246205595209,0.0192796783985561,0.00188694724751825,0.00311756501763885,0.00377389449503651,0.000328164738698827,0.00849126261383214,0.00447124456477152,0.00172286487816884,0.00360981212568709,0.00451226515710887,0.0238739847403397,0.0227664287472311,0.0347854623020756,0.0199770284682911,0.0246533759947494,0.0234637788169661,0.0244892936253999,0.0223972434161949,0.022520305193207,0.0190745754368693,0.0246943965870867,0.0201000902453031,0.0287964558208221,0.0242431700713758,0.0253507260644844,0.021822955123472,0.0245303142177373,0.0235047994093035,0.0154647633111822,0.0036918533103618,0.000902453031421774,0.00295348264828944,0.00397899745672328,0.0024612355402412,0.00459430634178358,0.00270735909426532,0.00504553285749446
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__",0.0205102961686767,0.0252686848798097,0.015792928049881,0.0252276642874723,0.0246533759947494,0.0243662318483879,0.0193617195832308,0.0195258019525802,0.0136188366560013,0.0055377799655427,0.00336368857166297,0.00311756501763885,0.0131265895479531,0.00192796783985561,0.00315858560997621,0.00812207728279596,0.00520961522684388,0.015669866272869,0.00192796783985561,0.00365083271802445,0.00315858560997621,0.000943473623759127,0.0118549511854951,0.00360981212568709,0.000943473623759127,0.00139470013947001,0.00479940930347034,0.0230125523012552,0.0223972434161949,0.0162441545655919,0.0214947903847732,0.0239970465173517,0.025186643695135,0.0237099023709902,0.020551316761014,0.0210435638690623,0.0228894905242432,0.0242841906637132,0.0219049963081467,0.0224792846008696,0.023217655262942,0.0213307080154237,0.019033554844532,0.0202231520223152,0.0222331610468455,0.0164492575272787,0.00114857658544589,0.00024612355402412,0.00233817376322914,0.00168184428583149,0.00159980310115678,0.00270735909426532,0.0018459266551809,0.00188694724751825
