"Taxa","CCCHF2","CCCHF3","CCCHF5","CCCSF1","CCCSF3","CCCSF4","CCMEF1","CCMEF4","CCMEF5","HDCHF2","HDCHF4","HDCHF5","HDCSF1","HDCSF2","HDCSF4","HDMEF2","HDMEF3","HDMEF5","HSPCHF1","HSPCHF2","HSPCHF3","HSPCSF2","HSPCSF3","HSPCSF5","HSPMEF3","HSPMEF4","HSPMEF5","SSBCHF1","SSBCHF3","SSBCHF4","SSBCSF1","SSBCSF3","SSBCSF4","SSBMEF2","SSBMEF4","SSBMEF5","XGCHF1","XGCHF3","XGCHF4","XGCSF1","XGCSF2","XGCSF3","XGMEF1","XGMEF2","XGMEF3","YSCHF1","YSCHF4","YSCHF5","YSCSF1","YSCSF3","YSCSF5","YSMEF1","YSMEF3","YSMEF4"
"k__Bacteria|p__Proteobacteria",0.395971777832472,0.395438510132086,0.593075724013455,0.393018295184182,0.396997292640906,0.401714660759701,0.477643777176142,0.473459676757732,0.615678070391336,0.656206415620642,0.597587989170564,0.526253179095906,0.807531380753138,0.82037082615473,0.970054967593732,0.402576093198786,0.416441053408811,0.331938633193863,0.324349823611453,0.328821068176224,0.340881122323406,0.292722946919354,0.310197719255066,0.311305275248175,0.356386906226926,0.350028714414636,0.341701534170153,0.380589055705964,0.393223398145869,0.378127820165723,0.387521535810977,0.382763147099844,0.378538026089097,0.375789646402494,0.378579046681434,0.380712117482976,0.414061859053245,0.379809664451555,0.383501517761916,0.382106817622446,0.377266387726639,0.378004758388711,0.393920748215604,0.381696611699073,0.374353925670687,0.539872015751907,0.677496103043728,0.828000656329477,0.328328821068176,0.334563951103454,0.357494462220034,0.332718024448273,0.359750594798589,0.306505865944704
"k__Bacteria|p__Acidobacteria",0.198867831651489,0.202764787923538,0.133809172204447,0.195093937156453,0.201288046599393,0.202395602592501,0.164123389941751,0.168225449175486,0.119944211994421,0.00931167446057921,0.0453687751251128,0.0333907621626056,0.0222741816391829,0.0183362047747969,0.00406103864139798,0.145828205759291,0.205964394125851,0.173476084994667,0.187628189351054,0.175732217573222,0.184100418410042,0.187587168758717,0.167364016736402,0.176962835343342,0.171507096562474,0.169538108130281,0.176675691196981,0.206989908934285,0.204241529247682,0.0221100992698335,0.206497661826237,0.211050947575683,0.209040938551153,0.202067437853803,0.206989908934285,0.207564197227008,0.190458610222332,0.203257035031586,0.209287062105177,0.203749282139634,0.199893346459923,0.202190499630815,0.204405611617032,0.204405611617032,0.214947903847732,0.0237919435556649,0.00639921240462712,0.0440150955779801,0.174378538026089,0.17962917384527,0.15887275412257,0.192058413323488,0.153991303634424,0.197432110919682
"k__Bacteria|p__Firmicutes",0.102633522028058,0.107473951923866,0.0742062515382722,0.110181311018131,0.10571006645336,0.111658052342276,0.109566002133071,0.0985314627943227,0.0736319632455493,0.302896053819017,0.230945934859299,0.33214373615555,0.0731807367298384,0.0863893674624662,0.0139880219870375,0.0420050865534498,0.0408975305603413,0.057469849864632,0.0243662318483879,0.0244892936253999,0.0278529821970629,0.00795799491344655,0.0806054639428993,0.032037082615473,0.0296578882599065,0.0230945934859299,0.0443022397243416,0.105874148822709,0.101279842480925,0.208753794404791,0.0973418656165395,0.103084748543769,0.103946180982853,0.104479448683239,0.100172286487817,0.102264336697022,0.0973828862088769,0.108007219624251,0.102223316104685,0.10554598408401,0.106079251784396,0.101115760111576,0.0947575682992862,0.0978751333169251,0.101895151365986,0.198375584543441,0.177085897120354,0.0105012716383625,0.0484453195504143,0.0278119616047256,0.0310115678070391,0.0504143079826073,0.0387644597587989,0.0308474854376897
"k__Bacteria|p__Gemmatimonadetes",0.0603823119205841,0.0636639593075724,0.0422922306998113,0.0631717121995242,0.0634178357535483,0.0542702436623185,0.045163672163426,0.0510706374600049,0.0393387480515219,0.00557880055788006,0.0294527852982197,0.0223562228238576,0.0067683977356633,0.00598900648125359,0.00110755599310854,0.109196816802035,0.105422922306998,0.120764623841168,0.121133809172204,0.123020756419723,0.120149314956108,0.133768151612109,0.103084748543769,0.128353433423579,0.0879071293789482,0.117770120600541,0.117072770530806,0.0612847649520059,0.0589876117811141,0.00627615062761506,0.0627204856838133,0.0628845680531627,0.060710476659283,0.0648535564853557,0.0625564033144639,0.0616949708753794,0.0626794650914759,0.0612027237673312,0.0570596439412585,0.0613668061366806,0.0612437443596686,0.0610796619903191,0.0630076298301747,0.0655509065550907,0.0623923209451144,0.00164082369349413,0.00131265895479531,0.0296168676675691,0.109360899171384,0.128763639346952,0.115349905652638,0.0942243005989006,0.098326359832636,0.120805644433506
"k__Bacteria|p__Actinobacteria",0.0708835835589466,0.0637049798999098,0.0441381573549922,0.065591927147428,0.0647304947083436,0.0659611124784642,0.0651407006317171,0.0589055705964394,0.0429075395848716,0.0113627040774469,0.0224792846008696,0.0255148084338338,0.0408154893756666,0.0415128394454016,0.00410205923373533,0.0706784805972598,0.0445483632783657,0.0500861432439084,0.0558700467634753,0.0516039051603905,0.0509475756829929,0.0484453195504143,0.0584543440807285,0.0608745590286324,0.104438428090902,0.0859381409467553,0.0687505127574042,0.0742062515382722,0.0667405037328739,0.0992698334563951,0.0686274509803922,0.065591927147428,0.0688325539420789,0.0705554188202478,0.0713758306669948,0.0750676839773566,0.0686684715727295,0.0700631717121995,0.0728525719911396,0.0614898679136927,0.0685043892033801,0.072442366067766,0.0698580687505128,0.0713348100746575,0.0700221511198622,0.142054311264255,0.108376404955288,0.0148904750184593,0.0699401099351875,0.0543933054393305,0.0595208794814997,0.0654278447780786,0.0674378538026089,0.0776519812946099
"k__Bacteria|p__Chloroflexi",0.0328985150545574,0.0315858560997621,0.0194847813602428,0.0287144146361473,0.0300270735909427,0.0274427762736894,0.0242021494790385,0.0297809500369185,0.0201000902453031,0.00365083271802445,0.0338419886783165,0.0271146115349906,0.0109935187464107,0.00845024202149479,0.000656329477397654,0.103576995651817,0.122774632865699,0.107268848962179,0.139552055131676,0.135162851751579,0.131553039625892,0.161867257363196,0.120313397325457,0.137542046107146,0.118836656001313,0.113955205513168,0.122733612273361,0.0309295266223644,0.0317499384691115,0.00746574780539831,0.0358519977028468,0.0303142177373041,0.0299860529986053,0.0328985150545574,0.0296578882599065,0.0290835999671835,0.0276068586430388,0.0315448355074247,0.0319960620231356,0.0296578882599065,0.0308474854376897,0.0301501353679547,0.0347854623020756,0.0354007711871359,0.0333497415702683,0.00631717121995242,0.00393797686438592,0.0338419886783165,0.117729100008204,0.127163836245795,0.12306177701206,0.116375420461071,0.109155796209697,0.124661580113217
"k__Bacteria|p__Bacteroidetes",0.071745015998031,0.0775289195175978,0.0480761342193781,0.0788825990647305,0.0763393223398146,0.0768315694478628,0.0605053736975962,0.0670686684715727,0.0484453195504143,0.00541471818853064,0.0112396423004348,0.00959881860694068,0.0257199113955206,0.010214127492001,0.00377389449503651,0.0329395356468947,0.0279350233817376,0.0520961522684388,0.0322011649848224,0.0398720157519075,0.038190171466076,0.0420461071457872,0.0449585692017393,0.0388465009434736,0.0351546476331118,0.0353187300024612,0.0338419886783165,0.0799491344655017,0.0797030109114776,0.189515136598572,0.0767495282631881,0.081261793420297,0.0817950611206826,0.0829846582984658,0.0806054639428993,0.0776519812946099,0.073714004430224,0.081261793420297,0.0759701370087784,0.0822873082287308,0.0839691525145623,0.0849126261383214,0.0750266633850193,0.0800311756501764,0.0805234227582246,0.0450816309787513,0.0127163836245795,0.00980392156862745,0.0418820247764378,0.0340881122323406,0.0349905652637624,0.0411436541143654,0.0677660185413077,0.0332266797932562
"k__Bacteria|p__Rokubacteria",0.0165723193042908,0.0168184428583149,0.0128394454015916,0.0139059808023628,0.014275166133399,0.0141521043563869,0.0119780129625072,0.0118959717778325,0.0114037246697842,0.00250225613257855,0.0151776191648207,0.0136188366560013,0.00176388547050619,0.00274837968660267,0.000287144146361473,0.0518500287144146,0.0162851751579293,0.0545984084010173,0.0641562064156206,0.0742062515382722,0.0575929116416441,0.0658790712937895,0.0627204856838133,0.0663302978095004,0.0520141110837641,0.0520961522684388,0.0470095988186069,0.0154647633111822,0.0193617195832308,0.000943473623759127,0.0169004840429896,0.0185002871441464,0.0176388547050619,0.0181311018131102,0.0189925342521946,0.0172286487816884,0.0183362047747969,0.0160390516039052,0.016367216342604,0.0171876281893511,0.0166133398966281,0.0180080400360981,0.019033554844532,0.0169004840429896,0.015095577980146,0.00414307982607269,0.00131265895479531,0.0147263926491099,0.0588645500041021,0.0632537533841989,0.0627204856838133,0.0510296168676676,0.0531626876692099,0.0563212732791862
"k__Bacteria|p__Nitrospirae",0.0172696693740258,0.0169415046353269,0.0114447452621216,0.019730904914267,0.0159570104192305,0.0166953810813028,0.0175568135203872,0.0150135367954713,0.00980392156862745,0.000943473623759127,0.00529165641151858,0.00332266797932562,0.00196898843219296,0.00188694724751825,0.00073837066207236,0.0126753630322422,0.00455328574944622,0.0178439576667487,0.0172286487816884,0.014398227910411,0.0202641726146526,0.0203051932069899,0.0175157929280499,0.0145623102797604,0.0153006809418328,0.0188694724751825,0.0151776191648207,0.015792928049881,0.0193206989908934,0.00127163836245795,0.0186233489211584,0.0172286487816884,0.0198949872836164,0.0182541635901222,0.0192796783985561,0.0194027401755681,0.0185002871441464,0.0194847813602428,0.0189925342521946,0.0194847813602428,0.0194437607679055,0.0175978341127246,0.0178029370744114,0.0181311018131102,0.0189104930675199,0.00496349167281976,0.00225613257855443,0.00414307982607269,0.016367216342604,0.017761916482074,0.0160390516039052,0.0164082369349413,0.0152186397571581,0.0150545573878087
"k__Bacteria|p__Verrucomicrobia",0.0120190335548445,0.00832718024448273,0.0085322832061695,0.0103782098613504,0.00857330379850685,0.00890146853720568,0.00717860365903684,0.0101320863073263,0.00590696529657888,0.00036918533103618,0.00147674132414472,0.000902453031421774,0.00172286487816884,0.0006153088850603,0.00036918533103618,0.00496349167281976,0.00717860365903684,0.00968085979161539,0.00488145048814505,0.00381491508737386,0.00426614160308475,0.00389695627204857,0.00582492411190418,0.00352777094101239,0.00348675034867503,0.00406103864139798,0.00988596275330216,0.00927065386824186,0.0079169743211092,0.00332266797932562,0.0113216834851095,0.00980392156862745,0.0112396423004348,0.0107473951923866,0.0120190335548445,0.012306177701206,0.0112806628927722,0.0113627040774469,0.00943473623759127,0.0115678070391336,0.0120190335548445,0.0110755599310854,0.00968085979161539,0.00980392156862745,0.0108294363770613,0.0129214865862663,0.000779391254409714,0.00143572073180737,0.00549675937320535,0.00475838871113299,0.00393797686438592,0.00697350069735007,0.00443022397243416,0.00397899745672328
