"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU1000","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1007","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1009","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU10161","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1041","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1046","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1069","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU10763","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU10869","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1099","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU111","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1116","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1121","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU11335","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1152","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1174","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1176","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU11773","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1183","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU11894","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU119","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
"OTU1205","k__Bacteria","p__Acidobacteria","c__Subgroup_6","o__","f__","g__","s__"
