"","K","Hotrienol","pH","cis_3_Hexenal","Nerol_oxide","beta_Ionone","trans_2_Octenal","p_Cymene","trans_2_Pentenal","trans_2_Hexenal"
"CCCHF2",637.53054410163,257.41849105279,550.696469063816,881.12822143132,413.338896495314,442.834026542854,347.796709647998,312.504020086563,465.258328693038,784.763044619276
"CCCHF3",603.134899245083,356.656456479802,544.21768707483,728.086649019324,422.993080008945,575.895075557878,327.696817500535,445.418391115438,447.329117899332,758.537908480558
"CCCHF5",638.983881208244,283.759091820433,534.499514091351,663.958462218667,463.216844039605,509.36464051869,317.794691365505,507.859258619182,467.675981572348,758.246528342673
"CCCSF1",622.318139059182,183.496567182928,584.710074505993,782.879491758817,178.402296492848,601.33431984686,754.194903825468,593.689053745999,615.071315347487,648.196560013049
"CCCSF3",569.271012995801,198.209706416306,576.61159701976,549.111881363792,137.764455296703,438.172726866216,677.183749263367,575.369338220905,599.72739588286,490.991914779138
"CCCSF4",634.738193260772,168.783426570548,579.850988014253,622.181835180932,170.656375947905,519.753523356538,489.435850512432,455.744860581677,622.327596322955,495.714997213118
"CCMEF1",572.614820006175,166.473712794362,597.667638483965,522.285423263449,163.223481375899,200.6772716334,339.008530262414,421.600723386876,681.790537306848,362.249204494415
"CCMEF4",580.850396943658,93.5673639427807,589.569160997733,315.565710941321,131.395780440359,183.993755397288,249.406770367315,391.161186893166,573.753837042591,251.433902056099
"CCMEF5",577.943722730429,115.293901472358,597.667638483965,539.614705074156,115.415361121529,167.310239161176,297.466007049102,406.380955140021,623.631716045443,441.929052723345
"HDCHF2",653.517252274391,1432.63773845144,550.696469063816,355.441689560138,1345.72006826143,1426.51623892129,510.290683112474,692.432535068502,362.345135827284,588.179167394982
"HDCHF4",641.890555421474,1442.96827978256,555.555555555556,410.039927882621,1547.34116061134,1385.72244087982,652.266008812543,1123.37933391838,362.620391972836,578.128483802516
"HDCHF5",615.246041800205,1453.29882111369,552.316164561063,324.642989669539,1748.96224806181,1535.44392330339,439.072650566456,772.444397733545,355.030458783803,564.164430349281
"HDCSF1",665.143949127308,460.19350198602,568.513119533528,426.459551562797,235.054147649089,1002.59241626047,1036.94059521863,548.865220609512,654.30781450495,539.30120708075
"HDCSF2",640.921664017064,688.854989316332,547.457078069323,464.39579960674,313.969293781286,792.716369434106,922.631208038835,644.190485311908,618.457720607367,516.370107607978
"HDCSF4",611.370476182566,633.589003275038,539.35860058309,306.127811605635,423.279296181852,1219.92833193593,745.709733843132,820.958522088191,508.012979916059,422.16326510305
"HDMEF2",678.25663908718,752.120552505507,563.654033041788,608.417280956848,564.717874850531,195.937060895058,624.844781758312,320.925539637334,534.251540177636,542.058885716553
"HDMEF3",744.710163397429,695.115040686761,563.654033041788,534.870228060329,606.482619348153,341.841287809918,616.472221301403,210.201093768918,501.274812323835,530.68089846556
"HDMEF5",667.406626899649,638.109528868015,558.794946550049,421.601610675592,648.247368745227,268.889174352488,541.60997852423,358.202792558587,417.587902022301,436.215844100586
"HSPCHF1",497.041290462213,1172.84800259307,519.922254616132,450.861786426202,1721.90861701614,1355.59255130396,850.246877464486,594.33706334676,560.647339762768,572.269856765126
"HSPCHF2",482.992365098271,1340.74146735617,506.96469063816,531.190906043428,1350.15819254303,859.907796450473,643.476063891943,643.68463731333,519.888035354695,693.6830138858
