CCCHF1,CCCHF2,CCCHF5,CCCSF1,CCCSF2,CCCSF5,CCMEF1,CCMEF2,CCMEF5,HDCHF2,HDCHF3,HDCHF5,HDCSF2,HDCSF4,HDCSF5,HDMEF2,HDMEF3,HDMEF5,HSPCHF2,HSPCHF3,HSPCHF5,HSPCSF1,HSPCSF2,HSPCSF4,HSPMEF3,HSPMEF4,HSPMEF5,SSBCHF3,SSBCHF4,SSBCHF5,SSBCSF1,SSBCSF3,SSBCSF4,SSBMEF2,SSBMEF3,SSBMEF4,XGCHF1,XGCHF2,XGCHF5,XGCSF1,XGCSF2,XGCSF4,XGMEF2,XGMEF3,XGMEF5,YSCHF2,YSCHF3,YSCHF5,YSCSF2,YSCSF3,YSCSF5,YSMEF1,YSMEF2,YSMEF4,
CCCHF1,0,0.540272922,0.362394194,0.459105993,0.593739464,0.449683247,0.573421113,0.653452345,0.510922222,0.253917271,0.282788849,0.258353593,0.166255568,0.261317055,0.295139567,0.203822334,0.275868188,0.206626089,0.186272248,0.215001863,0.160381879,0.232268025,0.197061381,0.226660515,0.209003957,0.223892251,0.190016503,0.259045659,0.246038365,0.251166752,0.242205384,0.193086437,0.215214807,0.319166681,0.380547619,0.326158323,0.289425585,0.242719997,0.173566625,0.202313985,0.167621954,0.193121928,0.171951804,0.179156389,0.197398541,0.398026724,0.276790943,0.181498767,0.213067627,0.21576491,0.156229482,0.14047167,0.127801537,0.160293152
CCCHF2,0.540272922,0,0.720316576,0.730342661,0.710201764,0.678792611,0.586534878,0.750199634,0.443916029,0.562419037,0.58099835,0.541869998,0.224921477,0.268929782,0.268841055,0.243926676,0.225578053,0.173868295,0.136532217,0.162777492,0.125210725,0.182297304,0.150267067,0.179759729,0.149078132,0.143435132,0.125867301,0.20541941,0.255283658,0.175571842,0.175873512,0.118591734,0.15296435,0.310861888,0.45956737,0.409543414,0.249392224,0.199031107,0.117438291,0.150284812,0.114066687,0.123808848,0.116551027,0.117527017,0.144251415,0.466736465,0.353521552,0.252426668,0.163895445,0.205224212,0.107607403,0.101662733,0.085975902,0.138679396
CCCHF5,0.362394194,0.720316576,0,0.640782212,0.49889092,0.64937093,0.425815839,0.566766632,0.301776303,0.564087094,0.588114209,0.564069349,0.429897255,0.268503895,0.269568612,0.214611467,0.210441325,0.173052011,0.114155413,0.147339095,0.101875677,0.176157436,0.141678349,0.174613596,0.127517612,0.127304669,0.105371498,0.190051994,0.260642734,0.162653275,0.163221124,0.111617838,0.15108335,0.278246056,0.435114368,0.421982858,0.2282221,0.191826522,0.109293205,0.138714887,0.09930261,0.122176282,0.097457101,0.109648111,0.122531187,0.481979664,0.334143701,0.227139638,0.164995652,0.192713786,0.101698224,0.093198233,0.076428939,0.127854773
CCCSF1,0.459105993,0.730342661,0.640782212,0,0.695047291,0.665235214,0.571469132,0.689226838,0.441360708,0.624758221,0.58728018,0.605948219,0.149805689,0.290596774,0.27349032,0.250474686,0.237733572,0.207886004,0.181321314,0.231487232,0.199847391,0.240288893,0.213049882,0.204940287,0.217184533,0.19920856,0.178517559,0.221123986,0.276702216,0.203999787,0.214611467,0.138076056,0.173335936,0.341117598,0.44549536,0.353911948,0.30784519,0.228488279,0.143026991,0.194914202,0.145742019,0.142885028,0.15330151,0.140258726,0.173708587,0.490710344,0.275584263,0.235444431,0.180788955,0.225826487,0.13143932,0.123720121,0.107749366,0.141252462
CCCSF2,0.593739464,0.710201764,0.49889092,0.695047291,0,0.731247671,0.659184072,0.781342608,0.505456675,0.389526733,0.398363885,0.388018384,0.159530105,0.280144802,0.276524764,0.262896385,0.2603943,0.22197576,0.17794971,0.245239828,0.213067627,0.271804518,0.23759161,0.212269089,0.251379696,0.215693929,0.19356556,0.232498713,0.28662183,0.214079108,0.215835892,0.161624048,0.18792256,0.350912995,0.437616453,0.361755364,0.31096836,0.229286817,0.15924618,0.192483098,0.152715916,0.150905897,0.159192944,0.155413199,0.180735719,0.490532891,0.281156283,0.240821252,0.184054088,0.271236669,0.141358934,0.132486292,0.11804163,0.142370415
CCCSF5,0.449683247,0.678792611,0.64937093,0.665235214,0.731247671,0,0.561088141,0.643834401,0.392951573,0.425407698,0.426170745,0.405976612,0.302432878,0.280322254,0.280198037,0.265433961,0.246801413,0.221851543,0.159938246,0.235142761,0.199776409,0.259986159,0.231309779,0.195038419,0.225808741,0.19074406,0.16173052,0.233492449,0.303497596,0.188987277,0.199439249,0.131581282,0.160843256,0.346725108,0.481695739,0.47236172,0.29441201,0.216385995,0.129576065,0.181339059,0.12865331,0.131794226,0.131031178,0.130871471,0.157152237,0.501126826,0.319503842,0.252036271,0.171241992,0.261388036,0.114545809,0.110446649,0.094387167,0.13362199
CCMEF1,0.573421113,0.586534878,0.425815839,0.571469132,0.659184072,0.561088141,0,0.655989921,0.608876191,0.326122833,0.30660302,0.324880663,0.146930953,0.284652104,0.296133303,0.277128103,0.27040264,0.252746083,0.219225241,0.291217859,0.236509148,0.30848402,0.274945433,0.251681366,0.271147942,0.251681366,0.222135467,0.260305574,0.318137455,0.264440225,0.281422462,0.199634447,0.240537327,0.381718808,0.456710379,0.387663478,0.330488173,0.291750217,0.191311909,0.24477845,0.186485192,0.200592692,0.203396447,0.194878711,0.227955921,0.512732241,0.313239757,0.249392224,0.239366138,0.302326407,0.174010257,0.170940323,0.15924618,0.188667862
CCMEF2,0.653452345,0.750199634,0.566766632,0.689226838,0.781342608,0.643834401,0.655989921,0,0.539705073,0.437864887,0.440757369,0.428051745,0.154916331,0.277802424,0.255159441,0.204265966,0.204230476,0.188543645,0.142494632,0.178109417,0.141305698,0.20014906,0.172519653,0.187407946,0.164995652,0.158465388,0.139460188,0.212056146,0.239845261,0.182066616,0.191595833,0.129824499,0.162883964,0.273295122,0.407342999,0.307170869,0.272265895,0.190087484,0.125689848,0.169573936,0.131048924,0.131758735,0.129434103,0.126293188,0.151633453,0.482795947,0.283214736,0.209128174,0.173087502,0.188827569,0.120117829,0.112895498,0.094245204,0.128191933
CCMEF5,0.510922222,0.443916029,0.301776303,0.441360708,0.505456675,0.392951573,0.608876191,0.539705073,0,0.181534257,0.19172005,0.196600004,0.131510301,0.255904743,0.256880734,0.23698827,0.270171952,0.295423491,0.355686476,0.341490249,0.278441254,0.354923429,0.318616578,0.364257449,0.314712615,0.32748922,0.312476709,0.333078984,0.364381666,0.411530886,0.420421273,0.345269994,0.352084184,0.371036147,0.357869146,0.385746988,0.432133161,0.376803365,0.335474598,0.334338899,0.31160719,0.325129097,0.343459976,0.348091495,0.363281458,0.438840878,0.355349316,0.207318155,0.341383777,0.365322166,0.277944386,0.270136461,0.256117687,0.268699093
HDCHF2,0.253917271,0.562419037,0.564087094,0.624758221,0.389526733,0.425407698,0.326122833,0.437864887,0.181534257,0,0.695632886,0.721718453,0.214025873,0.370166628,0.326389012,0.310418256,0.287597821,0.219349458,0.12553014,0.157879793,0.125405923,0.156335954,0.151101095,0.159672067,0.143949745,0.14329317,0.118023885,0.172555143,0.20135574,0.150976878,0.166965379,0.094174223,0.163363086,0.311944351,0.423615424,0.32063954,0.161677284,0.214771175,0.095806789,0.14799567,0.102479016,0.10961262,0.104537469,0.105655422,0.123081291,0.406917112,0.34686707,0.278618707,0.172626125,0.212020656,0.086259826,0.083544798,0.066473835,0.123063546
