"CCCHF1"	"CCCHF2"	"CCCHF5"	"CCCSF1"	"CCCSF2"	"CCCSF5"	"CCMEF1"	"CCMEF2"	"CCMEF5"	"HDCHF2"	"HDCHF3"	"HDCHF5"	"HDCSF2"	"HDCSF4"	"HDCSF5"	"HDMEF2"	"HDMEF3"	"HDMEF5"	"HSPCHF2"	"HSPCHF3"	"HSPCHF5"	"HSPCSF1"	"HSPCSF2"	"HSPCSF4"	"HSPMEF3"	"HSPMEF4"	"HSPMEF5"	"SSBCHF3"	"SSBCHF4"	"SSBCHF5"	"SSBCSF1"	"SSBCSF3"	"SSBCSF4"	"SSBMEF2"	"SSBMEF3"	"SSBMEF4"	"XGCHF1"	"XGCHF2"	"XGCHF5"	"XGCSF1"	"XGCSF2"	"XGCSF4"	"XGMEF2"	"XGMEF3"	"XGMEF5"	"YSCHF2"	"YSCHF3"	"YSCHF5"	"YSCSF2"	"YSCSF3"	"YSCSF5"	"YSMEF1"	"YSMEF2"	"YSMEF4"
"CCCHF1"	0	0.540272922470853	0.362394193743013	0.459105992582471	0.593739463737512	0.449683246677196	0.57342111333913	0.653452345039306	0.510922222419392	0.253917271485103	0.282788848863415	0.258353592532784	0.166255567582915	0.261317054992636	0.29513956666016	0.203822334214682	0.275868188029031	0.206626089116817	0.186272248150054	0.21500186325484	0.160381878515784	0.232268024772417	0.197061380938016	0.226660514968147	0.209003957198375	0.223892250634394	0.190016503114297	0.259045658616223	0.24603836530442	0.25116675243554	0.242205383919223	0.193086437279293	0.215214806665129	0.319166681454404	0.380547619470126	0.32615832342555	0.289425585150746	0.242719997160755	0.173566624669494	0.202313985058471	0.167621954465601	0.193121927847674	0.171951803808138	0.179156389189573	0.19739854133764	0.398026724397991	0.276790942806949	0.181498766702749	0.213067627278051	0.215764910475041	0.156229482015155	0.14047166965379	0.127801536741611	0.160293152094831
"CCCHF2"	0.540272922470853	0	0.720316575869963	0.730342661437723	0.710201763881249	0.678792610863663	0.586534878356077	0.750199634447146	0.443916029315209	0.56241903714088	0.58099834968857	0.541869998048019	0.224921477117456	0.268929781910457	0.268841055489504	0.243926676485724	0.225578052632513	0.173868294500736	0.136532216563448	0.162777491881532	0.125210725249765	0.182297304491331	0.15026706652707	0.179759728852058	0.149078132486292	0.143435132113641	0.125867300764822	0.205419409791848	0.255283658367789	0.175571841783046	0.175873511614289	0.118591734246624	0.152964349724061	0.310861888453144	0.45956736997143	0.409543413837773	0.249392224016468	0.199031107483186	0.117438290774227	0.150284811811261	0.114066686777989	0.123808847798697	0.11655102656469	0.11752701719518	0.144251415186414	0.466736464784483	0.35352155164765	0.252426667613082	0.163895444785548	0.20522421166575	0.107607403332564	0.101662733128671	0.085975901904069	0.138679395950526
"CCCHF5"	0.362394193743013	0.720316575869963	0	0.640782212127127	0.49889091973808	0.649370929675439	0.425815839440669	0.566766631767608	0.301776302947492	0.564087093854808	0.588114208649052	0.564069348570617	0.429897254804536	0.26850389508988	0.269568612141323	0.214611467002644	0.210441325217823	0.173052011427963	0.114155413198942	0.147339094635601	0.10187567653896	0.17615743616134	0.141678348978759	0.174613596436747	0.127517612194559	0.127304668784271	0.105371497524533	0.190051993682679	0.260642734193388	0.162653274892197	0.163221123986301	0.111617837559668	0.151083349599844	0.278246056110589	0.435114368356609	0.421982858055472	0.228222099976931	0.191826522101751	0.109293205330683	0.138714886518908	0.0993026103313045	0.122176281653151	0.0974571007754689	0.109648111014498	0.122531187336965	0.481979663904317	0.334143701311376	0.227139637641297	0.164995652405373	0.192713786311288	0.101698223697053	0.0931982325696946	0.0764289390094582	0.127854772594183
"CCCSF1"	0.459105992582471	0.730342661437723	0.640782212127127	0	0.695047291182368	0.665235213741948	0.57146913207815	0.68922683796781	0.441360708391745	0.624758220502901	0.587280180292087	0.605948219260732	0.149805689138112	0.290596773907334	0.273490319947474	0.250474686352102	0.23773357230316	0.207886004294359	0.181321313860841	0.231487232268025	0.19984739055596	0.240288893226625	0.21304988199386	0.204940287118698	0.217184533210299	0.199208560325094	0.178517558958707	0.221123986300641	0.276702216385995	0.20399978705659	0.214611467002644	0.138076056288041	0.173335935975015	0.341117597998332	0.445495359608184	0.353911947899846	0.30784519014072	0.228488279239792	0.143026990577254	0.194914201550938	0.145742019058435	0.142885028303728	0.153301510123685	0.140258726243501	0.17370858694302	0.490710343726155	0.27558426348198	0.235444430642557	0.18078895533512	0.225826486611183	0.13143932000071	0.123720121377744	0.10774936560609	0.141252462158181
"CCCSF2"	0.593739463737512	0.710201763881249	0.49889091973808	0.695047291182368	0	0.73124767093145	0.65918407183291	0.78134260820187	0.505456674888648	0.389526733270633	0.398363884797615	0.388018384114422	0.15953010487463	0.280144801518996	0.276524763544088	0.26289638528561	0.260394300214718	0.221975759941795	0.177949709864603	0.245239827515838	0.213067627278051	0.271804517949355	0.237591610029635	0.212269089489468	0.251379695845829	0.215693929338278	0.193565559952443	0.232498713466896	0.286621830248611	0.214079108476922	0.215835891611804	0.161624048409135	0.187922559579792	0.350912994871613	0.437616453427502	0.361755363512147	0.310968360158288	0.229286817028375	0.159246180327578	0.192483097616808	0.152715915745391	0.150905896757937	0.159192944475006	0.155413198942381	0.180735719482548	0.490532890884248	0.281156282717868	0.240821251752347	0.184054087626213	0.271236668855252	0.141358933863326	0.132486291767963	0.118041630436711	0.142370415062197
"CCCSF5"	0.449683246677196	0.678792610863663	0.649370929675439	0.665235213741948	0.73124767093145	0	0.561088140826575	0.643834401007932	0.392951573119444	0.425407697904282	0.426170745124483	0.405976611715437	0.302432878462549	0.280322254360904	0.280198037371568	0.265433960924884	0.246801412524622	0.22185154295246	0.159938246411016	0.235142760811314	0.199776409419197	0.259986158678331	0.231309779426118	0.195038418540273	0.225808741326992	0.190744059766117	0.16173052011428	0.233492449381577	0.303497595513992	0.188987276631235	0.199439249019573	0.131581282274236	0.160843255904743	0.346725107802601	0.481695739357266	0.472361719872944	0.29441201000834	0.216385995421717	0.129576065160684	0.181339059145032	0.128653310382766	0.131794225684524	0.131031178464323	0.130871470906607	0.157152236793072	0.501126825546111	0.319503841854027	0.252036271360886	0.171241992440509	0.261388036129399	0.114545809451138	0.110446648803081	0.0943871666104733	0.133621989956169
"CCMEF1"	0.57342111333913	0.586534878356077	0.425815839440669	0.57146913207815	0.65918407183291	0.561088140826575	0	0.65598992067858	0.608876191152201	0.326122832857168	0.306603020247369	0.324880662963817	0.146930953099214	0.284652103703441	0.296133302574841	0.277128103206573	0.270402640498288	0.252746082728515	0.219225240892233	0.29121785885401	0.236509147694	0.308484020371586	0.274945433251114	0.251681365677071	0.271147942434298	0.251681365677071	0.222135467499512	0.260305573793764	0.318137454971341	0.264440225010204	0.281422461980729	0.199634447145671	0.240537327205295	0.381718808226714	0.456710379216723	0.387663478430607	0.330488172768087	0.291750217379731	0.19131190886022	0.244778450126879	0.186485191560343	0.20059269249197	0.203396447394105	0.194878710982556	0.22795592071407	0.512732241406846	0.313239756534701	0.249392224016468	0.239366138448707	0.302326406757404	0.174010256774262	0.170940322609267	0.159246180327578	0.188667861515802
"CCMEF2"	0.653452345039306	0.750199634447146	0.566766631767608	0.68922683796781	0.78134260820187	0.643834401007932	0.65598992067858	0	0.53970507337675	0.437864887406172	0.44075736872926	0.4280517452487	0.154916330985041	0.27780242400582	0.255159441378454	0.204265966319451	0.204230475751069	0.188543644526467	0.142494632051532	0.17810941742232	0.141305698010754	0.200149060387202	0.172519652902241	0.187407946338261	0.164995652405373	0.158465387823186	0.139460188454918	0.212056146079179	0.239845261121857	0.182066615796852	0.191595833407272	0.129824499139354	0.162883963586677	0.273295121821376	0.407342998598123	0.307170869341473	0.272265895338314	0.19008748425106	0.125689847922914	0.169573935726581	0.131048923748514	0.131758735116143	0.129434102887158	0.126293187585399	0.151633453409756	0.482795946977091	0.283214735683992	0.20912817418771	0.173087501996344	0.188827569073519	0.120117828687026	0.112895498021401	0.0942452043369475	0.128191932993807
"CCMEF5"	0.510922222419392	0.443916029315209	0.301776302947492	0.441360708391745	0.505456674888648	0.392951573119444	0.608876191152201	0.53970507337675	0	0.18153425727113	0.191720050396607	0.196600003549057	0.131510301137473	0.255904743314464	0.256880733944954	0.23698827036715	0.270171951803808	0.295423491207212	0.355686476318918	0.341490248966337	0.278441254236687	0.354923429098717	0.318616577644491	0.364257448583039	0.314712615122531	0.327489219739854	0.3124767093145	0.333078984259933	0.364381665572374	0.411530885667134	0.420421273046688	0.345269994498962	0.352084183628201	0.371036147143897	0.357869146274378	0.385746987738009	0.432133160612567	0.376803364505883	0.335474597625681	0.334338899437475	0.311607190389154	0.325129096942487	0.343459975511508	0.348091494685287	0.363281457952549	0.438840878036662	0.355349315919294	0.207318155200256	0.341383777261193	0.365322165634483	0.277944386279346	0.270136461235427	0.256117686724753	0.268699093215978
"HDCHF2"	0.253917271485103	0.56241903714088	0.564087093854808	0.624758220502901	0.389526733270633	0.425407697904282	0.326122832857168	0.437864887406172	0.18153425727113	0	0.695632885560662	0.72171845332103	0.21402587262435	0.370166628218551	0.326389012120029	0.310418256348375	0.287597820879101	0.219349457881568	0.125530140365198	0.157879793444892	0.125405923375863	0.156335953720299	0.151101094884035	0.159672067148155	0.143949745355172	0.143293169840115	0.118023885152521	0.172555143470623	0.201355739712171	0.150976877894699	0.166965378950544	0.0941742232001845	0.163363086259826	0.311944350788778	0.423615424201019	0.320639540042234	0.161677284261707	0.214771174560361	0.0958067893457314	0.147995670150658	0.102479016201445	0.109612620446116	0.104537469167569	0.105655422071585	0.123081291146878	0.406917111777545	0.346867070076127	0.278618707078594	0.172626124607386	0.212020655510798	0.0862598264511206	0.0835447979699395	0.0664738345784608	0.123063545862687
