,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU1,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Filobasidiaceae,g__Filobasidium,s__Filobasidium_magnum
OTU10,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Cladosporiales,f__Cladosporiaceae,g__Cladosporium,Unclassified
OTU100,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,Unclassified
OTU1000,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Microascales,f__Microascaceae,g__Scedosporium,s__Scedosporium_dehoogii
OTU1002,k__Fungi,p__Zoopagomycota,c__Zoopagomycetes,o__Zoopagales,f__Piptocephalidaceae,g__Syncephalis,Unclassified
OTU1003,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,Unclassified,f__Symmetrosporaceae,g__Symmetrospora,Unclassified
OTU1005,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Cyphellophoraceae,g__Cyphellophora,Unclassified
OTU1006,k__Fungi,p__Rozellomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1007,k__Fungi,p__Ascomycota,c__Sordariomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU1008,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Chaetosphaeriales,f__Chaetosphaeriaceae,g__Chaetosphaeria,s__Chaetosphaeria_vermicularioides
OTU101,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Trichocladium,s__Trichocladium_seminis-citrulli
OTU1010,k__Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1013,k__Fungi,p__Ascomycota,c__Sordariomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU1015,k__Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1016,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,Unclassified,Unclassified,Unclassified
OTU1019,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,Unclassified
OTU102,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,Unclassified,Unclassified
OTU1020,k__Fungi,p__Chytridiomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1021,k__Fungi,p__Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1022,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Ophiocordycipitaceae,g__Hirsutella,s__Hirsutella_minnesotensis
OTU1023,k__Fungi,p__Rozellomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1024,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Peniophoraceae,g__Subulicystidium,Unclassified
OTU1026,k__Fungi,p__Ascomycota,c__Sordariomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU1028,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Funneliformis,s__Funneliformis_mosseae
OTU103,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Thermoascaceae,g__Thermoascus,s__Thermoascus_aurantiacus
OTU1030,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,Unclassified,Unclassified,Unclassified
OTU1033,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__Apiosordaria,s__Apiosordaria_jamaicensis
OTU1034,k__Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1037,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Saccharomycetaceae,g__Kazachstania,s__Kazachstania_servazzii
OTU1039,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_gamsii
OTU104,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Sporidiobolales,f__Sporidiobolaceae,g__Rhodotorula,s__Rhodotorula_alborubescens
OTU10418,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Amorosiaceae,Unclassified,Unclassified
OTU1045,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,Unclassified,Unclassified,Unclassified
OTU1047,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,Unclassified,Unclassified
OTU105,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,Unclassified,Unclassified,Unclassified
OTU1050,k__Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
