,CCCHF1,CCCHF2,CCCHF5,CCCSF1,CCCSF2,CCCSF5,CCMEF1,CCMEF2,CCMEF5,HDCHF2,HDCHF3,HDCHF5,HDCSF2,HDCSF4,HDCSF5,HDMEF2,HDMEF3,HDMEF5,HSPCHF2,HSPCHF3,HSPCHF5,HSPCSF1,HSPCSF2,HSPCSF4,HSPMEF3,HSPMEF4,HSPMEF5,SSBCHF3,SSBCHF4,SSBCHF5,SSBCSF1,SSBCSF3,SSBCSF4,SSBMEF2,SSBMEF3,SSBMEF4,XGCHF1,XGCHF2,XGCHF5,XGCSF1,XGCSF2,XGCSF4,XGMEF2,XGMEF3,XGMEF5,YSCHF2,YSCHF3,YSCHF5,YSCSF2,YSCSF3,YSCSF5,YSMEF1,YSMEF2,YSMEF4
OTU1,9500,29585,32175,36725,19746,20748,13330,23738,5201,40505,34916,45714,1684,8007,6955,2142,1662,502,568,711,315,843,884,1754,526,125,258,2097,528,1397,1257,348,293,4076,10951,4025,2075,1095,611,689,137,206,357,438,266,13461,6174,1290,1055,781,1150,234,301,298
OTU10,833,5527,2799,962,668,1151,623,848,272,5275,6859,3207,1421,2454,3266,5215,3374,544,56,1,45,74,119,13,101,310,10,1265,1547,363,376,77,456,5110,9638,8596,186,2053,59,194,110,96,32,7,213,2216,11067,15867,1362,3125,290,284,135,2018
OTU100,17,2,1,56,16,8,78,5,28,0,0,0,6,44,0,11,77,0,0,85,1,0,4,0,75,0,0,5,0,13,38,33,2,3,0,25,1,27,0,0,133,1,5,0,2,0,24,0,0,5,34,5,1,24
OTU1000,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,72,0,0,1,0,0,0,0,0,1,0,0,101,0,0,7,39,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0
OTU1002,32,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,63,60,0,0,0,4,0,97,0,0,46,0,0,83,19,0,0,0,0,0,27,24,1,2,16
OTU1003,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,133,0,0,12,20,0,0,0,0,0,0,49,0,0,0,0,0,0,31,0,0,0,0,8,14,3,27
OTU1005,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,784,0,0,0,34,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,33,0,0,1,0
OTU1006,1,0,0,4,0,0,2,0,1,0,0,0,0,0,13,0,31,0,0,0,83,22,0,0,0,0,66,0,0,0,0,1,10,0,15,0,0,0,249,0,0,0,17,0,0,0,41,0,0,0,8,45,24,33
OTU1007,2,0,0,0,7,1,0,1,62,0,0,5,1,2,0,0,2,13,0,0,0,68,85,0,0,73,0,0,76,0,75,34,81,0,0,14,0,16,123,0,206,0,25,0,33,1,22,4,47,0,17,4,7,5
OTU1008,0,0,3,0,17,0,0,0,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,45,0,32,9,0,0,0,0,0,170,67,1,76,0,0,0,0,0,88,24,7,20,13
