,Brix,pH,Tartaric.acid,Malic.acid,Ca.g.kg.DW,K.g.kg.DW,Mg.g.kg.DW,P.g.kg.DW,S.g.kg,AC,cis_2_2_Pentenyl_furan,beta_Cyclocitral,4_Propyl_Benzaldehyde,Eucalyptol,trans_2_Pentenal,Hexanal,cis_3_Hexenal,trans_2_Hexenal,Heptanal,1_Octen_3_ol,Benzaldehyde,trans_2_Octenal,Limonene,Linalool,alpha_Terpineol,gamma_Terpinene,Hotrienol,cis_2_Penten_1_ol,Nerol_oxide,beta_Ionone,p_Cymene,Isoterpinolene,Z_beta_Damascenone,E_beta_Damascenone,TDN,alpha_Ionene,Terpinen_4_ol,gamma_Terpineol
CCCHF2,22.2,3.4,6.880054934,4.5216,0.26,13.16,0.44,1.01,0.42,0,1.810772872,0.079551632,1.178266924,0.23757089,2.129719989,1024.614859,801.5096479,2254.731591,0.640053915,1.24368722,3.261623806,0.719612678,0.081783686,1.897832212,4.538757664,0.010668598,0.186670257,9.01598298,0.084364316,0.002474809,0.008036732,0.175094232,0.780382897,8.117311027,0.103818504,1.528735027,0.01309475,3.490600702
CCCHF3,22.1,3.36,5.045241073,5.0064,0.24,12.45,0.41,0.92,0.4,0,3.388724128,0.086065014,1.112506643,0.253207366,2.047649027,1024.435081,662.296882,2179.383187,0.612554669,1.313287993,4.044511605,0.678024771,0.123080542,2.383945278,7.350509731,0.00978121,0.258633916,7.526084805,0.086334778,0.00321843,0.011454919,0.170359521,1.191798146,11.26368715,0.157379223,1.444968068,0.014470475,5.575552432
CCCHF5,22.1,3.3,6.777400038,4.9631,0.33,13.19,0.45,0.95,0.42,0,2.599748501,0.111427835,1.67967236,0.260697205,2.140786795,1045.668721,603.9633056,2178.546012,0.593608653,1.331667916,5.626825936,0.657536666,0.11858041,1.375394965,7.594171335,0.011555987,0.205771475,8.003871756,0.094544628,0.00284662,0.013060724,0.179828942,0.986090522,9.69049909,0.130598863,1.847897204,0.011719024,5.67516262
CCCSF1,26.8,3.61,6.697585307,1.0767,0.485688673,12.84598328,0.484508471,0.827419345,0.440227329,1.043054279,1.330286673,0.071204654,4.693167534,0.431648154,2.815488932,1272.893768,712.1386542,1862.357397,1.162355901,2.852813748,4.379977697,1.560475414,0.039240543,0.078068112,0.845057727,0.023471563,0.133064844,11.51165238,0.036412706,0.003360599,0.015268027,0.023712635,0.900122885,8.678295364,0.035140092,0.192576429,0.03884201,0.075826368
CCCSF3,26.3,3.56,6.973508345,0.3656,0.561746591,11.75097664,0.555869394,0.900850266,0.493568243,0.996082859,1.154872066,0.0624541,3.706561169,0.505016035,2.745252141,935.0101054,499.4942393,1410.686944,1.066774901,2.676505133,4.249206924,1.401134622,0.035372321,0.059563585,0.705015411,0.018799313,0.143734262,10.28807136,0.028118341,0.002448759,0.014796895,0.018714794,1.245544076,11.37860649,0.040805654,0.167818505,0.043789811,0.089803436
CCCSF4,25.8,3.58,7.211524769,1.2031,0.497197085,13.10235988,0.499841697,0.957575985,0.48148627,1.018493002,1.98824517,0.040704348,4.199864352,0.467929849,2.848704558,739.7347441,565.9616064,1424.257006,0.730161357,2.764659441,4.314592311,1.012672729,0.02173143,0.065191505,0.661192272,0.017785178,0.122395425,12.73523339,0.034831729,0.002904679,0.011720487,0.017762143,1.072833481,10.02845093,0.037972873,0.180197468,0.03389421,0.061849299
CCMEF1,25.6,3.69,7.796874493,0.3396,0.42,11.82,0.45,0.78,0.29,0.938145289,0.293882408,0.029029981,0.963342789,0.423945757,3.120896169,694.5086799,475.0918147,1040.791524,1.069670157,1.701828943,2.263625349,0.701429397,0.035090313,0.127050031,0.796760828,0.008143675,0.120720507,1.887799483,0.033314642,0.001121499,0.010842395,0.012120545,0.738880732,7.072095848,0.036223441,0.519353338,0.01296482,0.025925319
CCMEF4,24.8,3.64,8.108054924,0.0291,0.4,11.99,0.5,0.9,0.33,1.037817629,0.339252675,0.019524495,0.966135054,0.242401526,2.626358176,572.051398,287.0512551,722.4039994,0.844406867,2.016590136,1.809592131,0.516037872,0.021259473,0.089669571,0.978586452,0.007085929,0.067851551,2.136520924,0.026818466,0.001028262,0.010059575,0.011639142,0.416240476,4.377887655,0.037099691,0.463914517,0.007210062,0.008672379
CCMEF5,24.5,3.69,8.272819097,0.1699,0.41,11.93,0.53,0.79,0.35,1.047493784,0.316567541,0.034377647,0.968927318,0.407710807,2.854674166,733.6862552,490.855226,1269.722629,0.915975141,1.840682883,2.325194274,0.615475374,0.03958601,0.112177726,1.160412076,0.007614802,0.083606823,2.385242364,0.023556791,0.000935025,0.010450985,0.011879844,0.697886409,6.835310411,0.037975942,0.408475695,0.010087442,0.017298849
HDCHF2,24.6,3.4,7.470545871,6.7117,0.3,13.49,0.34,0.78,0.43,0,4.013195438,0.138549755,0.725573041,0.23807175,1.658634851,793.7935807,323.3240481,1689.919217,0.525648958,1.962338835,9.803657987,1.055822654,0.242898121,4.377834748,19.44391607,0.019693063,1.038895278,6.211785028,0.27466748,0.007972186,0.017807434,0.346521034,1.359854091,11.57917688,0.210528427,1.003889684,0.142407499,15.40506677
HDCHF4,25.2,3.43,5.783567976,5.8093,0.27,13.25,0.36,0.73,0.43,0,4.833580159,0.136457423,0.588396806,0.29702299,1.659894836,791.2686683,372.9888003,1661.042228,0.587095321,2.392106271,8.361699072,1.349578292,0.317433592,4.639528898,22.44875385,0.020921862,1.0463866,6.837292675,0.315819246,0.007744207,0.028890184,0.431360746,1.395433025,10.50141645,0.264466079,1.651257299,0.19312618,17.76680091
HDCHF5,24.8,3.41,6.052919276,7.4902,0.28,12.7,0.36,0.69,0.42,0,4.51734439,0.147623332,0.735789322,0.266278901,1.625151917,750.3154628,295.3083127,1620.921592,0.478502387,1.823580366,10.03545807,0.908468186,0.246077118,3.208281776,17.17526202,0.022150661,1.053877922,4.31198552,0.356971011,0.008580936,0.019865116,0.370340953,1.477939522,12.60151791,0.34085066,1.705263846,0.143704529,13.68670712
HDCSF1,27,3.51,6.37156012,3.412,0.52,13.73,0.45,0.85,0.58,0.888580645,1.42352373,0.095391915,3.289233294,0.545148268,2.995094006,730.7722652,387.92475,1549.48615,0.924595311,3.526590053,6.295976366,2.145493554,0.035488939,0.07703736,1.003142328,0.017287956,0.333715107,11.71405962,0.047975602,0.005603058,0.014115283,0.018120163,0.842174017,8.995247799,0.087887636,0.288331003,0.075166861,0.107685991
HDCSF2,26.4,3.38,8.613243343,2.9965,0.43,13.23,0.45,0.82,0.57,0.799616154,2.039970509,0.098181439,2.48832027,0.543812284,2.830990202,766.4428181,422.4330861,1483.601964,0.978170898,2.807298399,5.60880452,1.908980436,0.031566013,0.085696939,0.887989069,0.018933545,0.499531861,12.87273758,0.064082536,0.004430151,0.016566783,0.019410299,1.147383823,10.62010005,0.085129012,0.251621715,0.054150317,0.125002402
HDCSF4,28.1,3.33,7.929686032,0.9657,0.49,12.62,0.43,0.8,0.54,0.890929476,2.020895302,0.133815418,2.099043923,0.469489514,2.325429404,625.5113827,278.4661625,1212.932817,0.774457183,2.780772014,5.087305271,1.542919078,0.0317014,0.092047125,0.923682961,0.018110751,0.459455036,9.514789596,0.086393196,0.006817655,0.021112764,0.026306714,1.412067228,13.01903302,0.129233732,0.32381393,0.068970987,0.155020461
HDMEF2,23.5,3.48,9.84226776,5.7989,0.395797652,14.00067409,0.444120106,0.798920566,0.440675013,0.851045739,1.009706796,0.053517048,6.048498629,0.280370053,2.445536413,619.0295138,553.4408146,1557.409338,0.817961239,2.193682373,3.151878063,1.292842095,0.024739537,0.150888095,0.566787714,0.016169818,0.54540968,8.586581865,0.115261442,0.001095008,0.00825331,0.015834013,0.234633412,2.225823324,0.023322168,0.196375367,0.001268541,0.432608867
HDMEF3,23.7,3.48,8.359857306,4.5319,0.465567228,15.37241759,0.472967544,0.998975504,0.476247004,0.736329539,0.886900527,0.058628628,6.333883373,0.292567548,2.294585442,794.0697258,486.539459,1524.718824,0.957390699,2.86259359,3.450132885,1.275518755,0.020750317,0.092565188,0.342646438,0.014284343,0.504071416,13.05680899,0.123785813,0.001910404,0.005405786,0.01561045,0.262821585,2.575206852,0.018865519,0.130747552,0,0.374417496
HDMEF5,24.8,3.45,9.29389963,2.4193,0.422943101,13.77670653,0.436840449,0.803697408,0.463819659,0.757954367,1.164518452,0.073016674,8.114397929,0.326846972,1.911508612,616.9832537,383.5057717,1253.307799,0.970710315,1.794811812,3.456992167,1.120624193,0.025440785,0.116045407,0.583039674,0.012398868,0.462733152,12.87603181,0.132310185,0.001502706,0.009211977,0.015386887,0.248727499,2.400515089,0.021093844,0.16356146,0.002537081,0.316226123
HSPCHF1,23.1,3.21,5.557589907,3.777,0.26,10.26,0.55,0.83,0.38,0,4.172107563,0.138837263,0.716558243,0.424519252,2.566363185,676.7350515,410.1220037,1644.209591,0.546437498,2.9035512,6.963061069,1.759212826,0.146237003,2.123948412,14.01796266,0.009147385,0.850505483,11.43757875,0.351449244,0.007575824,0.015284692,0.182263198,1.403784068,10.70160514,0.200021803,1.002406503,0.123940009,10.62913232
HSPCHF2,22.4,3.13,6.636034769,3.6729,0.3,9.97,0.56,0.77,0.38,0,5.510039432,0.14836804,0.544495132,0.369211487,2.37978747,842.041484,483.1925998,1993.046202,0.531157394,2.812962984,7.596548009,1.331391358,0.133818056,1.629391161,10.7367959,0.008557464,0.972255541,12.51149854,0.275573321,0.004805655,0.016553774,0.175440845,1.552929622,12.22107658,0.273792999,0.748337285,0.1333218,8.178811254
HSPCHF3,23.6,3.11,7.352183679,3.4076,0.25,9.33,0.56,0.71,0.35,0,6.536757905,0.183508292,0.630526687,0.357760179,2.47250382,508.4169733,351.3875234,1753.657962,0.384153624,3.320203378,10.12454488,2.072811412,0.167679966,1.935019534,12.37737928,0.013084862,1.094005599,10.36365895,0.4955119,0.007246215,0.017101763,0.257966267,1.103649646,13.88832791,0.236907401,1.208910969,0.142703592,9.403971792
