id,c_Subgroup_6_g_,f_Enterobacteriaceae_g_Pantoea,f_Pseudomonadaceae_g_Pseudomonas,f_Gemmatimonadaceae_g_,o_Rokubacteriales_g_,f_Sphingomonadaceae_g_Sphingomonas,f_Moraxellaceae_g_Cavicella,f_Nitrospiraceae_g_Nitrospira,f_Muribaculaceae_g_,f_Lachnospiraceae_g_,f_Nitrosomonadaceae_g_MND1,f_Gemmatimonadaceae_g_Gemmatimonas,f_Enterobacteriaceae_g_,f_Bacillaceae_g_Bacillus,c_S0134_terrestrial_group_g_,f_Haliangiaceae_g_Haliangium,f_Atopobiaceae_g_
CCCHF2,0.126138321,0.004061039,0.006276151,0.037000574,0.015833949,0.027811962,0.031873,0.017269669,0.019033555,0.020510296,0.014275166,0.017228649,0.002297153,0.004676348,0.000533268,0.00902453,0.022930511
CCCHF3,0.128066289,0.011813931,0.00972188,0.039379769,0.016572319,0.032283206,0.032201165,0.016941505,0.023094593,0.025268685,0.013249651,0.019730905,0.002133071,0.003035524,0.000451227,0.009968004,0.021658873
CCCHF5,0.083435885,0.322216753,0.002666339,0.026745426,0.01247026,0.02079744,0.016736402,0.011444745,0.013905981,0.015792928,0.008737386,0.010993519,0.026089097,0.005906965,0.000451227,0.005660842,0.015136599
CCCSF1,0.1191238,0.004225121,0.003527771,0.039338748,0.013372713,0.030847485,0.033185659,0.019730905,0.023627861,0.025227664,0.016900484,0.018951514,0.00484043,0.005373698,0.000369185,0.006850439,0.020551317
CCCSF3,0.124497498,0.002133071,0.007178604,0.040323242,0.014152104,0.031873,0.032447289,0.01595701,0.021617852,0.024653376,0.015464763,0.016736402,0.003855936,0.004717368,0.000164082,0.010132086,0.021002543
CCCSF4,0.122692592,0.00484043,0.010501272,0.035523833,0.013372713,0.033349742,0.032693412,0.016695381,0.022561326,0.024366232,0.013700878,0.014357207,0.006768398,0.007055542,0.000246124,0.007875954,0.019566823
CCMEF1,0.102141275,0.00902453,0.16896382,0.028714415,0.011403725,0.027770941,0.022397243,0.017556814,0.017761916,0.01936172,0.01177291,0.012716384,0.00348675,0.003773894,0.000246124,0.008655345,0.016449258
CCMEF4,0.102756584,0.012880466,0.155509066,0.030806465,0.011321683,0.026950529,0.022028058,0.015013537,0.018541308,0.019525802,0.010706375,0.015998031,0.003650833,0.00344573,0.000615309,0.007178604,0.018049061
CCMEF5,0.075847075,0.005578801,0.388711133,0.022725408,0.010993519,0.01870539,0.017433752,0.009803922,0.014767413,0.013618837,0.008450242,0.012798425,0.000943474,0.002502256,0.000656329,0.005906965,0.011608828
HDCHF2,0.004389203,0.56304865,0.059069653,0.003117565,0.002461236,0.002420215,0.000205103,0.000943474,0.001312659,0.00553778,0.001066535,0.000574288,0.0041841,0.122036262,0.000738371,0.000615309,8.20E-05
