id,K,Hotrienol,pH,cis_3_Hexenal,Nerol_oxide,beta_Ionone,trans_2_Octenal,p_Cymene,trans_2_Pentenal,trans_2_Hexenal
CCCHF2,13.16,0.186670257,3.4,801.5096479,0.084364316,0.002474809,0.719612678,0.008036732,2.129719989,2254.731591
CCCHF3,12.45,0.258633916,3.36,662.296882,0.086334778,0.00321843,0.678024771,0.011454919,2.047649027,2179.383187
CCCHF5,13.19,0.205771475,3.3,603.9633056,0.094544628,0.00284662,0.657536666,0.013060724,2.140786795,2178.546012
CCCSF1,12.84598328,0.133064844,3.61,712.1386542,0.036412706,0.003360599,1.560475414,0.015268027,2.815488932,1862.357397
CCCSF3,11.75097664,0.143734262,3.56,499.4942393,0.028118341,0.002448759,1.401134622,0.014796895,2.745252141,1410.686944
CCCSF4,13.10235988,0.122395425,3.58,565.9616064,0.034831729,0.002904679,1.012672729,0.011720487,2.848704558,1424.257006
CCMEF1,11.82,0.120720507,3.69,475.0918147,0.033314642,0.001121499,0.701429397,0.010842395,3.120896169,1040.791524
CCMEF4,11.99,0.067851551,3.64,287.0512551,0.026818466,0.001028262,0.516037872,0.010059575,2.626358176,722.4039994
CCMEF5,11.93,0.083606823,3.69,490.855226,0.023556791,0.000935025,0.615475374,0.010450985,2.854674166,1269.722629
HDCHF2,13.49,1.038895278,3.4,323.3240481,0.27466748,0.007972186,1.055822654,0.017807434,1.658634851,1689.919217
HDCHF4,13.25,1.0463866,3.43,372.9888003,0.315819246,0.007744207,1.349578292,0.028890184,1.659894836,1661.042228
HDCHF5,12.7,1.053877922,3.41,295.3083127,0.356971011,0.008580936,0.908468186,0.019865116,1.625151917,1620.921592
HDCSF1,13.73,0.333715107,3.51,387.92475,0.047975602,0.005603058,2.145493554,0.014115283,2.995094006,1549.48615
HDCSF2,13.23,0.499531861,3.38,422.4330861,0.064082536,0.004430151,1.908980436,0.016566783,2.830990202,1483.601964
HDCSF4,12.62,0.459455036,3.33,278.4661625,0.086393196,0.006817655,1.542919078,0.021112764,2.325429404,1212.932817
HDMEF2,14.00067409,0.54540968,3.48,553.4408146,0.115261442,0.001095008,1.292842095,0.00825331,2.445536413,1557.409338
HDMEF3,15.37241759,0.504071416,3.48,486.539459,0.123785813,0.001910404,1.275518755,0.005405786,2.294585442,1524.718824
HDMEF5,13.77670653,0.462733152,3.45,383.5057717,0.132310185,0.001502706,1.120624193,0.009211977,1.911508612,1253.307799
HSPCHF1,10.26,0.850505483,3.21,410.1220037,0.351449244,0.007575824,1.759212826,0.015284692,2.566363185,1644.209591
HSPCHF2,9.97,0.972255541,3.13,483.1925998,0.275573321,0.004805655,1.331391358,0.016553774,2.37978747,1993.046202
HSPCHF3,9.33,1.094005599,3.11,351.3875234,0.4955119,0.007246215,2.072811412,0.017101763,2.47250382,1753.657962
HSPCSF2,9.22,0.303243414,3.22,497.6965318,0.061745779,0.002661947,1.583606643,0.020760855,2.786959031,1520.60016
HSPCSF3,8.82,0.441666374,3.22,356.3975421,0.090384138,0.004424903,1.731773341,0.016207793,2.690864932,1447.295607
HSPCSF5,7.69,0.360305382,3.22,338.4085021,0.076064959,0.004808316,1.456335865,0.018484324,2.635605681,1393.219976
HSPMEF3,8.88,0.515610086,3.27,274.8392019,0.105389264,0.003104848,1.31403166,0.016091516,2.369317371,1889.451846
