,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,features,group
Brix,0.14761135,-0.281011655,-0.068418993,0.01706179,-0.04177635,0.152662987,-0.140665371,0.034761546,-0.250627405,0.033252793,-0.052897288,0.009415143,-0.125146356,0.136131857,0.116430234,-0.085473114,0.018041913,0.149241668,-0.065618489,-0.167539784,-0.216333643,0.070957246,0.074085066,0.081257952,0.004730324,0.027082815,0.157497449,0.07065152,-0.395798173,-0.106049986,-0.194583767,-0.162098045,-0.500338058,0.188905735,0.016059745,0.179262234,0.160551737,0.025976006,Brix,Maturity
pH,0.140267462,0.037629319,0.158945872,0.228398638,-0.229898349,0.280522052,-0.007000824,0.11420485,-0.021438706,0.314254865,-0.307502326,0.107237163,0.24255758,0.047791298,-0.055616515,-0.078536723,-0.242968469,0.176407973,0.032714334,-0.090984381,-0.25216986,0.015003698,-0.162696014,-0.171263075,-0.230632773,-0.045617006,-0.082001876,0.315013829,0.147637612,0.14882183,0.188874271,-0.034074373,0.037914303,-0.034854726,0.076960096,-0.006306951,-0.07912076,0.072018251,pH,Maturity
Tartaric.acid,0.130970329,-0.176572855,0.17332462,-0.125813035,-0.077898701,0.123426222,0.266170098,-0.141014987,-0.135404184,-0.220912626,0.43529973,0.19011686,-0.111184554,0.121994066,-0.436029799,-0.028967555,0.111032567,-0.023891983,0.075512005,-0.053822928,-0.21919375,0.10060637,0.155446115,0.012602427,-0.198656993,0.090033827,-0.152298747,0.078316876,0.117515478,-0.111458358,0.253673254,0.041722425,-0.013728249,-0.023996593,-0.052021608,0.070110084,0.005819787,0.034077191,Tartaric acid,Maturity
Malic.acid,-0.211717764,0.066627079,0.178057825,0.031569107,0.212395198,0.109791115,0.033329553,0.061184475,-0.111587853,0.097583113,0.27245653,0.164029445,0.028671123,-0.070808068,0.015921774,0.006486891,-0.280012749,-0.048354855,0.153392262,0.045856844,0.295526955,-0.440043134,0.161578083,0.011452875,-0.277654855,0.090949041,-0.03380246,0.152358765,-0.083366068,0.200916982,-0.220176564,-0.145072893,-0.194467889,0.036198633,-0.172957505,-0.040506277,-0.112566605,0.057143565,Malic acid,Maturity
Ca.g.kg.DW,0.168771508,-0.032896694,-0.146006456,-0.147721601,-0.045552837,0.243782434,0.105368015,-0.186160648,-0.157269367,-0.502341764,-0.084395238,0.13375908,-0.016221649,-0.197142575,0.257400933,0.046518729,-0.26402078,0.074455828,-0.069982918,0.454173151,-0.012599834,0.053275689,-0.218561834,-0.078233016,-0.154003937,0.007419274,0.039534515,-0.076892132,-0.025067009,0.120695381,-0.001013488,-0.007643783,-0.012615398,0.033217008,0.099377361,-0.050483998,-0.078222096,0.027784921,Ca,Elementcomposition
K.g.kg.DW,-0.017900376,0.143812345,0.207349289,0.155268813,0.109041894,0.456694641,0.2520588,0.103361588,-0.144591189,0.163050582,0.022594359,0.101875247,-0.058464154,-0.099890726,-0.070424186,-0.185033114,0.004622633,0.150214891,0.054530475,0.123332219,0.02169626,0.133199643,0.167766214,-0.162001209,0.384255537,-0.090221966,0.196693125,-0.33828792,0.062764754,-0.106816543,-0.170485685,0.1775742,6.59E-05,-0.036206931,-0.043320141,-0.046471683,-0.024964291,-0.045099995,K,Elementcomposition
Mg.g.kg.DW,0.089303299,-0.135918986,-0.082618059,0.122941268,-0.02472535,-0.165690167,0.434180412,0.233950469,0.459884977,-0.079129617,-0.296282282,0.129355217,-0.352645324,0.001801381,-0.112419057,-0.130491686,-0.197266487,-0.06407277,0.010507801,0.029003939,0.030426096,-0.01106972,0.089993923,-0.161427816,0.008943418,0.158743129,-0.208600532,-0.025283892,-0.115586084,0.027693118,-0.104054052,-0.043170365,-0.054879932,0.120056738,-0.059666547,0.077331246,0.039940518,-0.003468025,Mg,Elementcomposition
P.g.kg.DW,2.81E-05,0.274234493,-0.080781298,-0.198553822,0.052854841,0.202770689,0.31478711,0.122052436,0.151759603,-0.22618323,-0.136990914,-0.108468832,0.064298107,-0.203428115,0.14600071,-0.085307925,0.247267757,-0.001670224,-0.090284362,-0.285793233,-0.040898634,-0.169668945,0.096993137,0.158714913,-0.160272792,-0.415157671,0.094343769,0.199581536,0.069504438,-0.059116187,0.082780197,0.076800861,-0.161275244,0.021113324,-0.167318087,0.058065716,0.017358422,-0.010372055,P,Elementcomposition
S.g.kg,0.041374165,-0.019159571,-0.250150342,0.084095128,0.395699769,0.332490709,0.044726953,0.204672474,-0.071215502,0.013486657,0.132625478,-0.370254989,-0.112612154,-0.145443514,-0.00557477,0.14644184,-0.096954832,-0.220876319,0.143869328,-0.092046893,0.037070115,0.279701333,-0.054380635,-0.081142103,0.077065774,0.105199404,-0.090624735,0.242267654,-0.100526981,-0.01124546,0.160463297,-0.265206996,0.173964452,-0.035687515,0.051707352,0.025536487,0.01752241,0.010342921,S,Elementcomposition
AC,0.223142322,-0.092945587,-0.152703981,-0.012691337,-0.128119913,0.059985931,0.107183601,-0.285605121,-0.000539911,0.034711015,0.041036407,-0.049965367,-0.079621359,0.034404566,0.170831694,0.11879091,-0.11384225,-0.119586939,-0.012558138,-0.398146328,-0.016689687,-0.101121271,0.251512407,-0.248533128,-0.093755847,0.095254991,0.161987381,0.06331966,-0.100876392,0.0265479,-0.269923223,0.270363916,0.181660214,-0.341686487,0.124186461,-0.234068176,-0.037514933,-0.032039893,AC,Totalanthocyanins
