env,Rain,Tave,Tx,Tn,Tex,Ten,AT_10,RH,Wind_10,Windmax,Tsoil_10,Tsoil_20,Tsoil_40,TC,TN,TC.TN,IC,SOC,SWC,SBD,T.Cu,T.Fe,T.Zn,A.Ca,A.K,A.Mg,A.Na,A.P,pH,EC,Berry13C
CCCHF2,16,20.97419355,28.28320789,13.8647491,34.13333333,0.4,629.5833333,46.81492832,1.641236559,8.258530466,22.54507168,21.86129032,21.64867384,37.85,0.85,44.52941176,29.62217826,14.18476468,7.932573128,1.1142,27.38769804,25.32122827,58.2825985,6717.5,166.5,537.75,157.1,89.58,7.76,207,-25.94855736
CCCHF3,16,20.97419355,28.28320789,13.8647491,34.13333333,0.4,629.5833333,46.81492832,1.641236559,8.258530466,22.54507168,21.86129032,21.64867384,40.65,1.12,36.29464286,30.55758762,17.39931894,6.053486283,1.3595,30.40225879,24.7078061,62.02304534,6782.5,189.5,560.5,163.8,67.19,7.78,207,-26.22652124
CCCHF5,16,20.97419355,28.28320789,13.8647491,34.13333333,0.4,629.5833333,46.81492832,1.641236559,8.258530466,22.54507168,21.86129032,21.64867384,38.81,1.43,27.13986014,26.24672319,21.65908923,4.356407726,1.3568,33.853757,26.3600787,67.53875296,6595,135.15,473.25,94.8,75.58,7.82,223,-25.76358139
CCCSF1,16,20.97419355,28.28320789,13.8647491,34.13333333,0.4,629.5833333,46.81492832,1.641236559,8.258530466,22.54507168,21.86129032,21.64867384,32.46,0.91,35.67032967,23.69755308,15.1064585,6.455452278,1.6505,28.63383019,24.94979114,56.10407024,6617.5,366.75,359.75,163.3,49.92,7.41,225,-25.41662647
CCCSF3,16,20.97419355,28.28320789,13.8647491,34.13333333,0.4,629.5833333,46.81492832,1.641236559,8.258530466,22.54507168,21.86129032,21.64867384,33.16,0.88,37.68181818,26.87109269,10.84207621,3.450664316,1.5333,29.02335507,24.39705221,54.83705953,6635,272,374.5,103.575,60.65,7.53,235,-25.32063894
CCCSF4,16,20.97419355,28.28320789,13.8647491,34.13333333,0.4,629.5833333,46.81492832,1.641236559,8.258530466,22.54507168,21.86129032,21.64867384,37.45,1.73,21.64739884,22.69214469,25.44254256,3.729763743,1.6829,36.98694533,24.56322973,64.58740495,6560,369.25,369,109,88.65,7.36,202,-25.44262309
CCMEF1,16,20.97419355,28.28320789,13.8647491,34.13333333,0.4,629.5833333,46.81492832,1.641236559,8.258530466,22.54507168,21.86129032,21.64867384,32.84,0.65,50.52307692,26.74335665,10.51061314,3.435458437,1.7146,30.68579624,23.700943,49.23768081,6350,254.25,350.25,89.325,47.59,7.89,212,-24.93868857
CCMEF4,16,20.97419355,28.28320789,13.8647491,34.13333333,0.4,629.5833333,46.81492832,1.641236559,8.258530466,22.54507168,21.86129032,21.64867384,35.2,0.6,58.66666667,29.44393791,9.923451045,2.734906315,1.8408,30.25002067,22.76040191,48.91941331,6485,204.7,343.75,97.075,60.65,7.9,229,-24.9376887
CCMEF5,16,20.97419355,28.28320789,13.8647491,34.13333333,0.4,629.5833333,46.81492832,1.641236559,8.258530466,22.54507168,21.86129032,21.64867384,38.03,0.8,47.5375,29.97293708,13.89037648,3.414363876,1.3946,31.48411287,22.91401386,49.48457133,6635,296.25,395.75,121,43.86,7.72,223,-25.24564868
HDCHF2,0,20.22109319,27.42858423,12.37114695,38.4,-1.1,605.0166667,48.12107527,1.565519713,8.960197133,20.20921147,19.58602151,19.26204301,11.41,0.42,27.16666667,2.682105342,15.04689039,6.980650781,1.4951,10.09804866,23.09855016,44.60354446,4475,121.075,164.65,90.8,3.08,7.91,137,-27.67633287
