ID,Comp,Cultivar,DAT,Group,Treat,trans_2_Hexenal,cis_3_Hexenal, trans_2_Pentenal
CSCK1_7,CSCK1,CS,7,Control,CS_7_Control,1857.72,90.42,0.850344828
CSCK2_7,CSCK2,CS,7,Control,CS_7_Control,1612.2,93,0.9
CSCK3_7,CSCK3,CS,7,Control,CS_7_Control,1627.56,93.36679245,0.930566038
CSSP1_7,CSSP1,CS,7,Treat,CS_7_Treat,2171.53253,108.6096386,0.990361446
CSSP2_7,CSSP2,CS,7,Treat,CS_7_Treat,2020.775465,97.78438662,0.916728625
CSSP3_7,CSSP3,CS,7,Treat,CS_7_Treat,1901.626829,108.9317073,0.668292683
CHCK1_7,CHCK1,CH,7,Control,CH_7_Control,1955.770518,119.2063745,0.65498008
CHCK2_7,CHCK2,CH,7,Control,CH_7_Control,1849.5,109.4954198,0.627480916
CHCK3_7,CHCK3,CH,7,Control,CH_7_Control,1743.505263,102.2864662,0.618045113
CHSP1_7,CHSP1,CH,7,Treat,CH_7_Treat,2942.464671,177.6898204,0.984431138
CHSP2_7,CHSP2,CH,7,Treat,CH_7_Treat,1966.953138,117.6251046,0.687866109
CHSP3_7,CHSP3,CH,7,Treat,CH_7_Treat,2848.943713,176.7053892,0.984431138
CSCK1_14,CSCK1,CS,14,Control,CS_14_Control,3092.556383,139.4776596,2.186170213
CSCK2_14,CSCK2,CS,14,Control,CS_14_Control,3886.416,174.812,2.74
CSCK3_14,CSCK3,CS,14,Control,CS_14_Control,2580.570796,107.2964602,1.818584071
CSSP1_14,CSSP1,CS,14,Treat,CS_14_Treat,2483.4675,102.065,2.3975
CSSP2_14,CSSP2,CS,14,Treat,CS_14_Treat,2708.527027,105.8972973,2.591891892
CSSP3_14,CSSP3,CS,14,Treat,CS_14_Treat,3606.338182,151.9454545,3.487272727
CHCK1_14,CHCK1,CH,14,Control,CH_14_Control,1961.659341,96.95384615,1.806593407
CHCK2_14,CHCK2,CH,14,Control,CH_14_Control,1758.801356,90.8379661,1.950508475
CHCK3_14,CHCK3,CH,14,Control,CH_14_Control,2296.397468,102.3164557,1.734177215
CHSP1_14,CHSP1,CH,14,Treat,CH_14_Treat,1073.522156,127.4838323,2.953293413
CHSP2_14,CHSP2,CH,14,Treat,CH_14_Treat,1645.796721,100.1672131,2.695081967
CHSP3_14,CHSP3,CH,14,Treat,CH_14_Treat,1803.2625,82.2,2.371153846
CSCK1_28,CSCK1,CS,28,Control,CS_28_Control,3641.155556,198.9037037,2.537037037
CSCK2_28,CSCK2,CS,28,Control,CS_28_Control,3163.765909,231.1875,5.1375
CSCK3_28,CSCK3,CS,28,Control,CS_28_Control,3301.170166,158.4961326,3.179005525
CSSP1_28,CSSP1,CS,28,Treat,CS_28_Treat,4139.1125,186.0916667,3.425
CSSP2_28,CSSP2,CS,28,Treat,CS_28_Treat,4277.922857,190.2342857,2.935714286
CSSP3_28,CSSP3,CS,28,Treat,CS_28_Treat,3891.348,162.208,3.836
CHCK1_28,CHCK1,CH,28,Control,CH_28_Control,3956.894656,229.6580153,3.13740458
CHCK2_28,CHCK2,CH,28,Control,CH_28_Control,3738.36338,223.4450704,2.315492958
CHCK3_28,CHCK3,CH,28,Control,CH_28_Control,3292.215385,182.8423077,3.161538462
CHSP1_28,CHSP1,CH,28,Treat,CH_28_Treat,4415.926957,250.173913,2.859130435
CHSP2_28,CHSP2,CH,28,Treat,CH_28_Treat,5098.866,309.894,4.11
CHSP3_28,CHSP3,CH,28,Treat,CH_28_Treat,4137.179032,245.9370968,3.314516129
