"ID","CSCK1","CSCK2","CSCK3","CSSP1","CSSP2","CSSP3","CHCK1","CHCK2","CHCK3","CHSP1","CHSP2","CHSP3"
"OTU_1",2372,2323,1168,17715,17304,18187,302,2539,2874,21565,21592,21570
"OTU_4",11468,9454,11470,16,20,17,782,1814,3181,3,1,2
"OTU_5",860,870,537,2958,3415,2648,16,119,101,1,0,0
"OTU_6",1745,2160,2242,4,1,10,3,0,29,0,0,0
"OTU_7",1288,1653,4326,102,124,157,17,47,232,0,0,0
"OTU_8",0,0,0,0,0,0,2548,14,0,0,0,0
"OTU_9",0,0,0,0,0,0,942,184,0,0,0,0
"OTU_10",137,251,68,1,3,5,20,502,282,0,1,0
"OTU_11",0,0,0,0,0,0,3030,42,0,0,0,0
"OTU_12",25,0,0,0,0,0,3,774,49,0,0,0
"OTU_14",16,39,3,0,0,0,33,479,439,0,0,0
"OTU_15",0,0,1,0,0,0,729,0,0,0,0,0
"OTU_16",0,0,0,0,0,0,540,13,0,0,0,0
"OTU_17",0,0,5,0,0,0,1590,16,0,0,0,0
"OTU_18",289,517,118,0,0,0,0,12,0,0,0,0
"OTU_19",0,0,0,0,0,0,647,0,0,0,0,0
"OTU_20",23,0,0,0,0,0,1,467,32,0,0,0
"OTU_22",5,0,13,4,1,0,419,318,21,0,0,0
"OTU_23",0,0,0,0,0,0,503,0,0,0,0,0
"OTU_24",43,12,4,0,0,0,6,392,45,0,0,0
"OTU_25",0,0,0,0,0,0,737,0,0,0,0,0
"OTU_26",0,0,0,0,0,0,310,21,0,0,0,0
"OTU_27",0,0,0,0,0,0,922,0,0,0,0,0
"OTU_28",16,20,0,0,0,0,5,403,685,0,0,0
"OTU_29",0,0,3,1,0,0,351,53,13,0,0,0
"OTU_30",3,0,1,0,0,0,441,13,12,0,0,0
"OTU_31",30,0,0,0,0,0,3,504,128,0,0,0
"OTU_32",21,0,2,0,0,0,0,240,218,0,0,0
"OTU_33",0,0,0,0,0,0,468,0,0,0,0,0
"OTU_34",0,0,0,0,0,0,679,32,0,0,0,0
"OTU_35",48,349,9,0,0,0,7,103,0,0,0,0
"OTU_36",22,0,0,0,0,0,3,745,168,0,0,0
"OTU_37",0,0,0,0,0,0,0,0,1976,0,0,0
"OTU_38",0,0,0,0,0,0,395,0,0,0,0,0
"OTU_39",20,0,34,1,1,0,0,225,72,0,0,0
"OTU_40",0,0,0,0,0,0,0,259,24,0,0,0
"OTU_41",177,255,149,28,13,27,3,58,42,0,0,0
"OTU_42",5,0,5,0,0,0,136,24,0,0,0,0
"OTU_43",0,0,0,0,0,0,6,137,115,0,0,0
"OTU_44",0,5,5,0,1,0,270,112,0,0,0,0
"OTU_45",112,155,47,4,3,6,0,14,0,0,0,0
"OTU_46",4,4,1,0,0,0,21,96,310,0,3,0
"OTU_47",0,0,0,2,0,0,500,31,0,0,0,0
"OTU_48",0,0,0,0,0,0,198,8,0,0,0,0
"OTU_49",14,0,0,0,0,0,0,145,27,0,0,0
"OTU_50",7,0,2,0,0,0,4,116,208,0,0,0
"OTU_51",0,0,0,32,24,56,0,0,0,0,0,0
"OTU_52",0,0,6,0,0,0,125,5,0,0,0,0
"OTU_53",0,10,2,0,0,1,14,117,82,0,0,0
"OTU_54",0,0,4,0,0,0,0,198,0,0,0,0
"OTU_55",41,87,30,22,17,29,14,127,42,0,0,0
"OTU_56",17,12,5,40,57,46,4,40,53,2,0,3
"OTU_57",3,2,1,0,1,0,1,152,0,0,0,0
"OTU_58",78,88,39,3,6,1,0,24,57,0,0,0
"OTU_59",66,146,49,0,0,0,0,0,0,0,0,0
"OTU_60",0,0,0,0,0,0,79,23,0,0,0,0
"OTU_61",4,0,4,0,1,0,0,76,48,1,0,0
"OTU_62",5,0,4,0,0,0,3,132,30,0,0,0
"OTU_63",133,65,61,0,0,0,0,0,0,0,0,0
"OTU_64",2,0,0,0,0,0,0,143,0,0,0,0
"OTU_65",0,0,1,1,0,0,242,10,0,0,0,0
"OTU_66",0,0,3,1,0,0,7,98,94,0,0,0
