"ID","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU_1","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__Sphingomonas_astaxanthinifaciens"
"OTU_4","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Pseudonocardia","s__"
"OTU_5","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Beijerinckiaceae","g__Microvirga","s__"
"OTU_6","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Salinisphaerales","f__Salinisphaeraceae","g__Salinisphaera","s__"
"OTU_7","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Halomonadaceae","g__Salinicola","s__"
"OTU_8","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__Actinomyces_graevenitzii"
"OTU_9","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Neisseriaceae","g__Neisseria","s__"
"OTU_10","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Cutibacterium","s__Cutibacterium_acnes"
"OTU_11","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella_7","s__Prevotella_jejuni"
"OTU_12","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Dysgonomonadaceae","g__Fermentimonas","s__"
"OTU_14","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Enhydrobacter","s__Moraxella_osloensis"
"OTU_15","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella_7","s__Prevotella_melaninogenica"
"OTU_16","k__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae","g__Dialister","s__"
"OTU_17","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__Schaalia_odontolytica"
"OTU_18","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Aureimonas","s__"
"OTU_19","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__Prevotella_salivae"
"OTU_20","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Family_XI","g__Tissierella","s__"
"OTU_22","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__"
"OTU_23","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Alloprevotella","s__"
"OTU_24","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Hungateiclostridiaceae","g__Fastidiosipila","s__"
"OTU_25","k__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae","g__Megasphaera","s__Megasphaera_micronuciformis"
"OTU_26","k__Bacteria","p__Patescibacteria","c__Saccharimonadia","o__Saccharimonadales","f__Saccharimonadaceae","g__TM7x","s__"
"OTU_27","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Alloprevotella","s__Alloprevotella_tannerae"
"OTU_28","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Paracoccus","s__"
"OTU_29","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Neisseriaceae","g__Neisseria","s__Neisseria_mucosa"
"OTU_30","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Pasteurellaceae","g__Haemophilus","s__Haemophilus_parainfluenzae"
"OTU_31","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__Flavobacteriaceae","g__","s__"
"OTU_32","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Family_XI","g__Tissierella","s__"
"OTU_33","k__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae","g__Veillonella","s__Veillonella_atypica"
"OTU_34","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__Prevotella_pallens"
"OTU_35","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__","g__","s__"
"OTU_36","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Dysgonomonadaceae","g__Proteiniphilum","s__"
"OTU_37","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Cyanobacteriales","f__","g__","s__"
"OTU_38","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Alloprevotella","s__Prevotella_sp_oral_clone_BU035"
"OTU_39","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__"
"OTU_40","k__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__","g__","s__"
"OTU_41","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Halomonadaceae","g__Chromohalobacter","s__"
"OTU_42","k__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Solobacterium","s__Solobacterium_moorei"
"OTU_43","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__","s__"
"OTU_44","k__Bacteria","p__Fusobacteriota","c__Fusobacteriia","o__Fusobacteriales","f__Fusobacteriaceae","g__Fusobacterium","s__Fusobacterium_periodonticum"
"OTU_45","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Cellvibrionaceae","g__Cellvibrio","s__"
"OTU_46","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Micrococcus","s__Micrococcus_luteus"
"OTU_47","k__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae","g__Veillonella","s__Veillonella_parvula"
"OTU_48","k__Bacteria","p__Fusobacteriota","c__Fusobacteriia","o__Fusobacteriales","f__Leptotrichiaceae","g__Leptotrichia","s__"
"OTU_49","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Family_XI","g__","s__"
"OTU_50","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Rothia","s__Rothia_amarae"
"OTU_51","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Rubritaleaceae","g__Luteolibacter","s__"
"OTU_52","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcaceae","g__Peptostreptococcus","s__"
