,CSCK1,CSCK2,CSCK3,CSSP1,CSSP2,CSSP3,CHCK1,CHCK2,CHCK3,CHSP1,CHSP2,CHSP3
OTU_1,2365,3035,2772,68328,66713,71072,875,5993,2919,89270,135790,98263
OTU_2,50509,36539,62723,1974,2073,2538,20604,5956,68041,4217,4254,3773
OTU_3,14821,11328,12150,59,62,105,2704,11929,5982,229,234,469
OTU_4,11438,12297,28889,54,89,82,2114,4486,3214,11,16,7
OTU_5,886,1143,1316,11465,13042,10683,53,317,114,2,5,0
OTU_6,1706,2877,5695,13,5,38,8,0,39,0,0,1
OTU_7,1347,2189,10890,460,476,659,48,133,237,0,0,0
OTU_8,0,0,0,0,0,0,7194,46,0,0,0,0
OTU_9,0,0,1,1,3,0,2698,386,0,0,0,0
OTU_10,128,341,206,8,19,14,80,1179,336,3,5,0
OTU_11,0,0,0,1,0,0,8752,98,0,0,0,0
OTU_12,19,0,0,0,0,0,8,1849,50,0,0,0
OTU_13,1,0,1,1,0,0,36,1879,90,0,0,0
OTU_14,11,53,10,0,1,1,98,1195,453,0,0,0
OTU_15,0,0,2,3,0,0,2214,0,0,0,0,0
OTU_16,0,0,0,0,0,0,1588,34,0,0,0,0
OTU_17,0,0,11,0,0,0,4538,33,0,0,0,0
OTU_18,285,654,298,0,1,1,0,30,0,0,0,0
OTU_19,0,0,0,2,0,0,1772,0,0,0,0,0
OTU_20,18,0,0,0,0,0,1,1225,31,0,0,0
OTU_21,66,77,61,708,564,1018,0,0,0,0,0,0
OTU_22,5,0,32,18,10,0,1167,786,16,0,0,0
OTU_23,0,0,0,0,0,0,1568,0,0,0,0,0
OTU_24,33,12,12,0,0,1,9,962,50,0,0,0
OTU_25,0,0,0,0,0,0,2128,0,0,0,0,0
OTU_26,0,0,5,0,0,0,835,71,0,0,0,0
OTU_27,0,0,0,0,0,1,2601,0,0,0,0,0
OTU_28,19,26,2,2,1,3,18,1064,664,0,0,1
OTU_29,0,0,13,1,0,0,1017,129,8,0,0,0
OTU_30,5,0,4,0,0,0,1268,18,9,0,0,0
OTU_31,25,0,2,0,0,0,4,1182,132,0,0,0
OTU_32,18,0,5,0,0,0,0,627,222,0,0,0
OTU_33,0,0,0,0,0,0,1407,0,0,0,0,0
OTU_34,0,0,0,0,1,0,1795,65,0,0,0,0
OTU_35,44,443,28,0,0,0,18,302,0,0,0,0
OTU_36,16,0,1,0,0,1,4,1675,176,0,0,0
OTU_37,0,0,0,0,0,0,0,0,2069,0,0,0
OTU_38,0,0,0,0,0,0,1136,0,0,0,0,0
OTU_39,21,0,78,7,6,0,4,481,92,0,0,0
OTU_40,2,0,0,0,0,0,0,631,32,0,0,0
OTU_41,211,269,355,89,55,96,10,122,45,0,0,0
OTU_42,3,0,10,2,1,0,495,46,0,0,0,0
OTU_43,0,0,0,0,0,0,34,358,110,0,0,0
OTU_44,0,2,14,5,2,0,786,320,0,0,0,0
OTU_45,92,207,127,4,7,12,0,38,0,0,0,0
OTU_46,6,4,4,0,0,0,41,257,300,3,5,1
OTU_47,0,0,2,3,0,0,1479,86,0,0,0,0
OTU_48,0,0,0,0,0,0,539,38,0,0,0,0
OTU_49,10,0,0,0,0,0,0,388,32,0,0,0
OTU_50,6,0,6,0,0,1,10,318,204,0,0,0
OTU_51,0,0,0,89,130,206,0,0,0,0,0,0
OTU_52,0,0,22,0,0,0,368,13,0,0,0,0
OTU_53,0,9,8,0,3,1,48,259,83,0,0,0
OTU_54,1,0,6,0,0,0,0,457,0,0,0,0
OTU_55,31,117,93,53,44,90,43,303,34,1,3,0
OTU_56,18,18,19,125,222,177,5,76,56,9,5,6
OTU_57,3,3,3,1,1,2,6,389,0,0,0,0
OTU_58,84,131,102,8,16,13,0,43,64,0,0,0
OTU_59,69,191,115,0,0,0,0,0,0,0,0,0
OTU_60,0,0,0,0,0,0,252,67,0,0,0,0
OTU_61,9,0,11,5,3,1,0,255,53,1,0,0
OTU_62,5,0,7,0,0,0,14,325,30,0,0,0
OTU_63,128,94,134,0,0,0,0,0,0,0,0,0
OTU_64,1,0,0,0,0,0,0,358,0,0,0,0
OTU_65,0,0,2,1,1,0,670,18,0,0,0,0
OTU_66,0,0,8,3,0,0,16,219,86,0,0,0
OTU_67,144,115,87,13,12,10,0,0,0,0,0,0
OTU_68,15,27,16,0,0,0,185,35,127,0,0,0
OTU_69,61,60,89,42,54,71,10,47,0,0,0,0
OTU_70,17,0,23,0,0,0,0,399,106,0,0,0
OTU_71,0,0,0,0,0,0,0,212,54,0,0,0
OTU_72,35,30,15,10,11,15,20,259,28,0,0,3
OTU_73,135,209,123,1,2,3,16,15,21,0,0,1
OTU_74,2,0,6,4,0,0,445,0,0,0,0,0
OTU_75,6,1,1,84,88,150,0,0,0,0,0,0
OTU_76,0,0,0,0,0,0,7,203,48,0,0,0
OTU_77,0,0,0,0,0,0,2,229,71,0,0,0
OTU_78,9,0,10,0,0,0,26,102,140,2,1,2
OTU_79,5,15,4,0,1,0,0,496,254,0,0,0
OTU_80,0,0,0,0,0,0,297,43,0,0,0,0
OTU_81,0,0,0,0,0,0,0,209,0,0,0,0
OTU_82,9,2,3,2,1,2,10,180,82,0,0,0
OTU_83,15,35,28,4,9,4,27,551,124,2,0,1
OTU_84,6,11,1,0,0,0,20,105,71,0,0,0
OTU_85,2,3,5,7,8,8,72,71,41,0,0,0
OTU_86,0,0,0,0,0,0,375,62,28,0,0,0
OTU_87,17,14,38,0,2,5,0,188,46,0,0,1
OTU_88,0,0,0,0,0,0,0,38,155,0,0,0
OTU_89,0,0,1,5,0,0,300,0,0,0,0,0
OTU_90,0,0,3,0,0,0,226,0,0,0,2,0
OTU_91,2,4,3,7,7,8,3,303,11,0,0,0
OTU_92,0,0,0,0,2,0,180,84,0,0,0,0
OTU_93,4,0,21,16,8,17,94,80,209,1,2,0
OTU_94,0,0,0,0,0,0,264,37,0,0,0,0
OTU_95,0,0,0,0,0,0,360,0,0,0,0,0
OTU_96,0,0,0,0,0,0,54,21,129,0,0,0
OTU_97,0,0,0,0,0,0,97,40,200,0,0,0
OTU_98,53,67,78,5,0,3,4,10,13,0,0,0
OTU_99,0,0,0,1,0,0,314,26,0,0,0,0
OTU_100,1,0,1,0,0,2,28,70,69,0,0,0
OTU_101,25,43,17,6,3,38,265,30,103,10,9,14
OTU_102,12,86,43,7,5,13,0,10,0,0,0,0
OTU_103,5,1,1,33,20,2,1,102,34,0,0,0
OTU_104,0,0,0,192,408,116,0,0,0,0,0,0
OTU_105,2,0,0,72,37,63,0,0,0,0,0,0
OTU_106,3,2,4,1,1,0,5,98,100,0,0,0
OTU_107,0,0,0,0,0,0,0,207,0,0,0,0
OTU_108,3,10,9,1,2,5,6,162,15,0,0,0
OTU_109,10,6,29,7,10,7,9,81,0,3,0,0
OTU_110,28,75,27,25,22,17,11,117,142,0,0,0
OTU_111,1,0,0,0,0,0,0,155,0,0,0,0
OTU_112,11,3,2,4,0,0,5,169,0,1,0,0
OTU_113,5,0,0,0,0,0,2,159,0,0,0,0
OTU_114,87,34,46,0,0,0,0,0,0,0,0,0
OTU_115,11,1,25,0,0,0,9,108,13,0,0,0
OTU_116,92,52,138,19,24,13,28,148,80,9,1,4
OTU_117,1,0,0,0,0,0,0,209,45,0,0,0
OTU_118,0,0,0,0,0,0,144,0,0,0,0,0
OTU_119,5,9,1,0,0,0,23,116,23,0,0,0
OTU_120,0,0,0,0,0,0,0,151,0,0,0,0
OTU_121,0,0,1,0,0,0,259,27,0,0,0,0
OTU_122,0,0,0,0,0,0,0,272,0,0,0,0
OTU_123,0,0,0,0,0,0,129,0,0,0,0,0
OTU_124,1,0,0,0,0,0,0,128,0,0,0,0
OTU_125,7,2,1,0,1,0,3,262,41,1,0,0
OTU_126,0,0,0,0,0,0,0,119,17,0,0,0
OTU_127,0,0,0,0,0,0,57,82,0,0,0,0
OTU_128,0,9,0,0,1,0,0,0,131,0,0,0
OTU_129,13,9,19,0,0,0,0,129,0,0,0,0
OTU_130,11,63,39,31,44,38,25,174,233,28,52,37
OTU_131,7,3,0,26,26,28,68,0,23,2,2,2
OTU_132,0,0,0,0,0,0,0,121,0,0,0,0
OTU_133,0,0,0,0,0,0,168,0,0,0,0,0
OTU_134,2,0,0,0,0,0,0,152,0,0,0,0
OTU_135,0,0,0,0,0,0,0,0,137,0,0,0
OTU_136,51,42,28,1,1,0,6,254,14,4,0,1
OTU_137,18,23,19,9,2,3,12,16,244,0,0,0
OTU_138,0,0,0,0,0,0,242,128,0,0,0,0
OTU_139,0,0,0,0,1,0,113,0,0,0,0,0
OTU_140,8,1,1,118,70,0,6,81,70,0,0,0
OTU_141,5,2,0,30,68,80,1,0,19,0,0,0
OTU_142,1,0,0,0,0,0,0,126,0,0,0,0
OTU_143,16,0,2,0,0,1,7,54,37,0,0,0
OTU_144,0,0,0,0,0,0,0,101,0,0,0,0
OTU_145,0,0,0,34,17,0,0,92,0,0,0,0
