id,cultivar,group,stage
CHCK1_1,CH,Control,1
CHCK1_2,CH,Control,1
CHCK1_3,CH,Control,1
CHCK2_1,CH,Control,2
CHCK2_2,CH,Control,2
CHCK2_3,CH,Control,2
CHCK3_1,CH,Control,3
CHCK3_2,CH,Control,3
CHCK3_3,CH,Control,3
CHsp1_1,CH,inoculation,1
CHsp1_2,CH,inoculation,1
CHsp1_3,CH,inoculation,1
CHsp2_1,CH,inoculation,2
CHsp2_2,CH,inoculation,2
CHsp2_3,CH,inoculation,2
CHsp3_1,CH,inoculation,3
CHsp3_2,CH,inoculation,3
CHsp3_3,CH,inoculation,3
CSCK1_1,CS,Control,1
CSCK1_2,CS,Control,1
CSCK1_3,CS,Control,1
CSCK2_1,CS,Control,2
CSCK2_2,CS,Control,2
CSCK2_3,CS,Control,2
CSCK3_1,CS,Control,3
CSCK3_2,CS,Control,3
CSCK3_3,CS,Control,3
CSsp1_1,CS,inoculation,1
CSsp1_2,CS,inoculation,1
CSsp1_3,CS,inoculation,1
CSsp2_1,CS,inoculation,2
CSsp2_2,CS,inoculation,2
CSsp2_3,CS,inoculation,2
CSsp3_1,CS,inoculation,3
CSsp3_2,CS,inoculation,3
CSsp3_3,CS,inoculation,3
